agency_type,(All),,,,
addr1,(All),,,,
county,(All),,,,
,,,,,
Row Labels,agency_name,city,state,zip,Sum of company
,Prince George's County Sheriff's Office,Upper Marlboro,MD,20773,0
,Prince William County Police Department,Prince William,VA,22192,0
,Spotsylvania County Sheriff's Office,Spotsylvania,VA,22553,0
,Stafford County Sheriff's Office,Stafford,VA,22555,0
,Washington Metropolitan Area Transit Authority Police,Washington,DC,20001,0
,Washington Metropolitan Police Department,Washington,DC,20001,0
Hagerstown Police Department Count,,,,,37
Houston Fire-Arson,Baytown Police Department,Baytown,TX,77521,0
,Beaumont Police Department,Beaumont,TX,77704,0
,Brazoria County Sheriff's Office,Angleton,TX,77515,0
,Bryan Police Department,Bryan,TX,77805,0
,Fort Bend County Sheriff's Office,Richmond,TX,77469,0
,Galveston County Sheriff's Office,Galveston,TX,77551,0
,Galveston Police Department,Galveston,TX,77552,0
,Harris County Constable Pct. 1,Houston,TX,77002,0
,Harris County Constable Pct. 3,Baytown,TX,77521,0
,Harris County Constable Pct. 4,Spring,TX,77379,0
,Harris County Constable Pct. 5,Houston,TX,77094,0
,Harris County Metropolitan Transit Authority Police Dept.,Houston,TX,77002,0
,Harris County Sheriff's Office,Houston,TX,77002,0
,Houston I.S.D. Police Dept.,Houston,TX,77021,0
,Houston Police Department,Houston,TX,77073,0
,Jefferson County Sheriff's Office,Beaumont,TX,77701,0
,Montgomery County Sheriff's Office,Conroe,TX,77301,0
,Pasadena Police Department,Pasadena,TX,77506,0
,Pearland Police Department,Pearland,TX,77584,0
,Port Arthur Police Department,Port Arthur,TX,77641,0
,Sugar Land Police Department,Sugar Land,TX,77478,0
Houston Fire-Arson Count,,,,,21
Meridian Technology Center,Broken Arrow Police Department,Broken Arrow,OK,74012,0
,Norman Police Department,Norman,OK,73069,0
,Oklahoma City Police Department,Okla. City,OK,73102,0
,Oklahoma County Sheriff's Office,Oklahoma City,OK,73102,0
,Oklahoma Department of Public Safety,"Okla. City,",OK,73136,0
,Oklahoma Dept. of Wildlife Conservation,"Okla. City,",OK,73105,0
,Oklahoma State Bureau of Investigation,"Okla. City,",OK,73116,0
,Seminole County Sheriff's Office,Sanford,FL,32773,0
,Tulsa County Sheriff's Office,Tulsa,OK,74103,0
,Tulsa Police Department,Tulsa,OK,74103,0
Meridian Technology Center Count,,,,,10
Newton County Sheriff's Office,Anderson County Sheriff's Office,Anderson,SC,29625,0
,Athens-Clarke County Police Dept,Athens,GA,30605,0
,Atlanta Police Department,Atlanta,GA,30308,0
,Barrow County Sheriff's Office,Winder,GA,30680,0
,Bartow County Sheriff's Office,Cartersville,GA,30121,0
,Bibb County Sheriff's Office,Macon,GA,31201,0
,Cherokee County Sheriff's Office,Canton,GA,30115,0
,Clarke County Sheriff's Office,Athens,GA,30601,0
,Clayton County Police Department,Jonesboro,GA,30236,0
,Clayton County Sheriff's Office,Jonesboro,GA,30236,0
,Cobb County Police Department,Marietta,GA,30060,0
,Cobb County Sheriff's Office,Marietta,GA,30060,0
,Columbia County Sheriff's Office,Appling,GA,30802,0
,Coweta County Sheriff's Office,Newnan,GA,30263,0
,DeKalb County Police Department,Tucker,GA,30084,0
,DeKalb County Sheriff's Office,Decatur,GA,30032,0
,Douglas County Sheriff's Office,Douglasville,GA,30134,0
,East Point Police Department,East Point,GA,30344,0
,Fayette County Sheriff's Office,Fayetteville,GA,30214,0
,Forsyth County Sheriff's Office,Cumming,GA,30040,0
,Fulton County Police Department,Atlanta,GA,30303,0
,Fulton County Sheriff's Office,Atlanta,GA,30303,0
,Georgia Bureau of Investigation,Decatur,GA,30034,0
,Georgia Department of Natural Resources - Wildlife Resource Div.,Social Circle,GA,30025,0
,Georgia Department of Public Safety,Atlanta,GA,30371,0
,Gwinnett County Police Department,Lawrenceville,GA,30045,0
,Gwinnett County Sheriff's Office,Lawrenceville,GA,30043,0
,Hall County Sheriff's Office,Gainesville,GA,30501,0
,Henry County Police Department,McDonough,GA,30253,0
,Henry County Sheriff's Office,McDonough,GA,30253,0
,Houston County Sheriff's Office,Warner Robins,GA,31088,0
,Macon Police Department,Macon,GA,31202,0
,Marietta Police Department,Marietta,GA,30060,0
,MARTA Police Department,Atlanta,GA,30324,0
,Newton County Sheriff's Office,Covington,GA,30014,0
,Paulding County Sheriff's Office,Dallas,GA,30132,0
,Rockdale County Sheriff's Office,Conyers,GA,30012,0
,Roswell Police Department,Roswell,GA,30075,0
,Sandy Springs Police Department,Sandy Springs,GA,30328,0
,Walton County Sheriff's Office,Monroe,GA,30655,0
Newton County Sheriff's Office Count,,,,,40
Sahuarita Police Department ,Pima County Sheriff's Dept.,Tucson,AZ,85714,0
,Pinal County Sheriff's Office,Florence,AZ,85232,0
,Tucson Police Department,Tucson,AZ,85701,0
Sahuarita Police Department  Count,,,,,3
Shreveport Police Department,Bossier City Police Dept,Bossier City,LA,71171,0
,Bossier Parish Sheriff's Office,Benton,LA,71006,0
,Caddo Parish Sheriff's Office,Shreveport,LA,71101,0
,Longview Police Department,Longview,TX,75606,0
,Monroe Police Department,Monroe,LA,71210,0
,Ouachita Parish Sheriff's Office,Monroe,LA,71201,0
,Shreveport Police Department,Shreveport,LA,71101,0
,Tyler Police Department,Tyler,TX,75702,0
Shreveport Police Department Count,,,,,8
Soddy Daisy Police Department,Bartow County Sheriff's Office,Cartersville,GA,30121,0
,Blount County Sheriff's Office,Maryville,TN,37804,0
,Bradley County Sheriff's Office,Cleveland,TN,37311,0
,Chattanooga Police Department,Chattanooga,TN,37406,0
,Cherokee County Sheriff's Office,Canton,GA,30115,0
,Forsyth County Sheriff's Office,Cumming,GA,30040,0
,Hamilton County Sheriff's Office,Chattanooga,TN,37402,0
,Huntsville Police Department,Huntsville,AL,35804,0
,Knox County Sheriff's Office,Knoxville,TN,37902,0
,Knoxville Police Department,Knoxville,TN,37927,0
,Murfreesboro Police Department,Murfreesboro,TN,37130,0
,Paulding County Sheriff's Office,Dallas,GA,30132,0
,Roswell Police Department,Roswell,GA,30075,0
,Rutherford County Sheriff's Office,Murfreesboro,TN,37129,0
,Whitfield County Sheriff's Office,Dalton,GA,30720,0
,Wilson County Sheriff's Office,Lebanon,TN,37087,0
Soddy Daisy Police Department Count,,,,,16
Victoria Police Department,Corpus Christi Police Department,Corpus Christi,TX,78469,0
,Fort Bend County Sheriff's Office,Richmond,TX,77469,0
,Hays County Sheriff's Office,San Marcos,TX,78666,0
Victoria Police Department Count,,,,,3
Williamson County Sheriff's Office,Austin Police Department,Austin,TX,78768,0
,Bexar County Sheriff's Office,San Antonio,TX,78207,0
,Bryan Police Department,Bryan,TX,77805,0
,Hays County Sheriff's Office,San Marcos,TX,78666,0
,Killeen Police Department,Killeen,TX,76541,0
,McLennan County Sheriff's Office,Waco,TX,76701,0
,Round Rock Police Department,Round Rock,TX,78665,0
,San Antonio Police Department,San Antonio,TX,78207,0
,Temple Police Department,Temple,TX,76501,0
,Texas Alcoholic Beverage Commission,Austin,TX,78731,0
,Texas Department of Public Safety,Austin,TX,78773,0
,Texas Parks & Wildlife Department,Austin,TX,78744,0
,Travis County Sheriff's Office,Austin,TX,78767,0
,Waco Police Department,Waco,TX,76701,0
,Williamson County Sheriff's Office,Georgetown,TX,78626,0
Williamson County Sheriff's Office Count,,,,,15
Yoakum Police Department,Austin Police Department,Austin,TX,78768,0
,Bexar County Sheriff's Office,San Antonio,TX,78207,0
,Corpus Christi Police Department,Corpus Christi,TX,78469,0
,Fort Bend County Sheriff's Office,Richmond,TX,77469,0
,Harris County Constable Pct. 5,Houston,TX,77094,0
,Hays County Sheriff's Office,San Marcos,TX,78666,0
,Round Rock Police Department,Round Rock,TX,78665,0
,San Antonio Police Department,San Antonio,TX,78207,0
,Sugar Land Police Department,Sugar Land,TX,77478,0
,Texas Alcoholic Beverage Commission,Austin,TX,78731,0
,Texas Department of Public Safety,Austin,TX,78773,0
,Texas Parks & Wildlife Department,Austin,TX,78744,0
,Travis County Sheriff's Office,Austin,TX,78767,0
Yoakum Police Department Count,,,,,13
Grand Total,,,,,0
