agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Indianapolis Police,Local police department,1582, , , , , ,50 North Alabama Street, , ,Indianapolis,IN,Marion,46204, , , , ,18097
Prince George's County Police Department,Local police department,1578, , , , , ,7600 Barlowe Road, , ,Landover,MD,Prince Georges,20785, , , , ,24033
Ohio State Highway Patrol,Primary state law enforcement agency,1560, , , , , ,740 E. 17th Avenue, , ,Columbus,OH,Franklin,43211, , , , ,39049
Memphis Police Department,Local police department,1549, , , , , ,201 Poplar, , ,Memphis,TN,Shelby,38103, , , , ,47157
Denver Police Department,Local police department,1525, , , , , ,Po Box 489, , ,Denver,CO,Denver,80204, , , , ,8031
Austin Police Department,Local police department,1515, , , , , ,201 1St Street Ne, , ,Austin,TX,Travis,78768, , , , ,48453
Fort Worth Police Department,Local police department,1489, , , , , ,350 W. Belknap Street, , ,Fort Worth,TX,Tarrant,76102, , , , ,48439
Palm Beach County Sheriff's Office,Sheriff's office,1447, , , , , ,3228 Gun Club Rd, , ,West Palm Beach,FL,Palm Beach,33406, , , , ,12099
Maryland State Police,Primary state law enforcement agency,1440, , , , , ,1201 Reisterstown Rd, , ,Pikesville,MD,Baltimore,21208, , , , ,24005
New Orleans Police Department,Local police department,1425, , , , , ,715 South Broad, , ,New Orleans,LA,Orleans,70119, , , , ,22071
Kansas City Police Department,Local police department,1421, , , , , ,1125 Locust Street, , ,Kansas City,MO,Jackson,64106, , , , ,29095
Fairfax County Police Department,Local police department,1419, , , , , ,4100 Chain Bridge Road, , ,Fairfax,VA,Fairfax,22030, , , , ,51059
Sacramento County Sheriff's Office,Sheriff's office,1409, , , , , ,711 G St,PO Box 988, ,Sacramento,CA,Sacramento,95814, , , , ,6067
Orange County Sheriff's Office,Sheriff's office,1398, , , , , ,Po Box 1468, , ,Orlando,FL,Orange,32804, , , , ,12095
San Jose Police Department,Local police department,1382, , , , , ,201 W. Mission Street, , ,San Jose,CA,Santa Clara,95110, , , , ,6085
St. Louis (city) Police Dept,Local police department,1351, , , , , ,1200 Clark Ave - Room 103, , ,St Louis,MO,St. Louis City,63103, , , , ,29510
San Diego County Sheriff's Office,Sheriff's office,1322, , , , , ,Po Box 939062,9621 Ridgehaven Ct, ,San Diego,CA,San Diego,92193, , , , ,6073
Nashville Metro Police Department,Local police department,1315, , , , , ,200 James Robertson Pkwy., , ,Nashville,TN,Davidson,37201, , , , ,47037
Indiana State Police,Primary state law enforcement agency,1315, , , , , ,100 N. Senate Avenue Igcn 301, , ,Indianapolis,IN,Marion,46204, , , , ,18097
Newark Police,Local police department,1310, , , , , ,31 Green Street, , ,Newark,NJ,Essex,7102, , , , ,34013
Seattle Police Department,Local police department,1283, , , , , ,610 5Th Avenue,PO BOX 34986, ,Seattle,WA,King,98124, , , , ,53033
Arizona Department of Public Safety,Primary state law enforcement agency,1244, , , , , ,P. O. Box 6638 Mail Drop 1000, , ,Phoenix,AZ,Maricopa,85005, , , , ,4013
Connecticut State Police,Primary state law enforcement agency,1227, , , , , ,1111 Country Club Rd, , ,Middletown,CT,Middlesex,6457, , , , ,9007
Hillsborough County Sheriff's Office,Sheriff's office,1223, , , , , ,329 Mast Rd, , ,Tampa,FL,Hillsborough,33601, , , , ,12057
Louisiana State Police,Primary state law enforcement agency,1215, , , , , ,7919 Independence Blvd, , ,Baton Rouge,LA,East Baton Rouge,70806, , , , ,22033
Montgomery County Police Department,Local police department,1206, , , , , ,2350 Research Blvd., , ,Rockville,MD,Montgomery,20850, , , , ,24031
Louisville Metro Police Department,Local police department,1197, , , , , ,633 West Jefferson St., , ,Louisville,KY,Jefferson,40202, , , , ,21111
El Paso Police Department,Local police department,1132, , , , , ,911 N.  Raynor, , ,El Paso,TX,El Paso,79903, , , , ,48141
Washington State Patrol,Primary state law enforcement agency,1132, , , , , ,Po Box 42601, , ,Olympia,WA,Thurston,98504, , , , ,53067
Miami Police Department,Local police department,1104, , , , , ,P. O. Box 1206, , ,Miami,FL,Miami-Dade,33128, , , , ,12086
Cincinnati Police Department,Local police department,1082, , , , , ,310 Ezzard Charles Drive, , ,Cincinnati,OH,Hamilton,45214, , , , ,39061
DeKalb County Police Department,Local police department,1074, , , , , ,1960 West Exchange Place, , ,Tucker,GA,DeKalb,30084, , , , ,13089
Wayne County Sheriff's Office,Sheriff's office,1062, , , , , ,510 N Pearl St, , ,Detroit,MI,Wayne,48226, , , , ,26163
Georgia Department of Public Safety,Primary state law enforcement agency,1048, , , , , ,P.O. Box 1456, , ,Atlanta,GA,Fulton,30371, , , , ,13121
Oklahoma City Police Department,Local police department,1046, , , , , ,701 Colcord Drive, , ,Okla. City,OK,Oklahoma,73102, , , , ,40109
Tucson Police Department,Local police department,1032, , , , , ,270 South Stone Street, , ,Tucson,AZ,Pima,85701, , , , ,4019
Missouri State Highway Patrol,Primary state law enforcement agency,1028, , , , , ,P O Box 568, , ,Jefferson City,MO,Cole,65102, , , , ,29051
Albuquerque Police Department,Local police department,1020, , , , , ,"400 Roma, Nw", , ,Albuquerque,NM,Bernalillo,87102, , , , ,35001
Tampa Police Department,Local police department,980, , , , , ,411 North Franklin Street, , ,Tampa,FL,Hillsborough,33602, , , , ,12057
Long Beach Police Department,Local police department,968, , , , , ,400 West Broadway, , ,Long Beach,CA,Los Angeles,90802, , , , ,6037
South Carolina Highway Patrol,Primary state law enforcement agency,967, , , , , ,10311 Wilson Blvd, , ,Blythewood,SC,Richland,29016, , , , ,45079
Alameda County Sheriff's Office,Sheriff's office,928, , , , , ,"1401 Lakeside Dr, Ste 1200", , ,Oakland,CA,Alameda,94612, , , , ,6001
Portland Police Bureau,Local police department,928, , , , , ,1111 Sw 2Nd Avenue #1180, , ,Portland,OR,Multnomah,97204, , , , ,41051
Minneapolis Police Department,Local police department,902, , , , , ,209 N Sheridan St, , ,Minneapolis,MN,Hennepin,55415, , , , ,27053
Jersey City Police,Local police department,900, , , , , ,8 Erie Street, , ,Jersey City,NJ,Hudson,7302, , , , ,34017
Pittsburgh Police Department,Local police department,891, , , , , ,1203 Western Avenue, , ,Pittsburgh,PA,Allegheny,15233, , , , ,42003
Kentucky State Police,Primary state law enforcement agency,882, , , , , ,919 Versailles Rd, , ,Frankfort,KY,Franklin,40601, , , , ,21073
Pinellas County Sheriff's Office,Sheriff's office,863, , , , , ,Po Box 2500, , ,Largo,FL,Pinellas,33779, , , , ,12103
San Francisco Sheriff's Department,Sheriff's office,838, , , , , ,"City Hall, Room 456",1 Dr. Carlton B. Goodlett Pl, ,San Francisco,CA,San Francisco,94102, , , , ,6075
Mesa Police Department,Local police department,831, , , , , ,130 North Robson Street, , ,Mesa,AZ,Maricopa,85201, , , , ,4013
Fresno Police Department,Local police department,828, , , , , ,2323 Mariposa Mall, , ,Fresno,CA,Fresno,93721, , , , ,6019
Tulsa Police Department,Local police department,826, , , , , ,600 Civic Center, , ,Tulsa,OK,Tulsa,74103, , , , ,40143
Jefferson Parish Sheriff's Office,Sheriff's office,825, , , , , ,1233 Westbank Expy Bldg B,5th Floor, ,Harvey,LA,Jefferson,70058, , , , ,22051
Oklahoma Department of Public Safety,Primary state law enforcement agency,825, , , , , ,P. O. Box 11415, , ,"Okla. City,",OK,Oklahoma,73136, , , , ,40109
Birmingham Police Department,Local police department,816, , , , , ,151 Martin St.,PO Box 3001, ,Birmingham,AL,Jefferson,35203, , , , ,1073
Virginia Beach Police Department,Local police department,813, , , , , ,Municipal Cntr-2509 Princess, , ,Virginia Beach,VA,Virginia Beach City,23456, , , , ,51810
Oakland County Sheriff's Office,Sheriff's office,796, , , , , ,"1200  N Telegraph Rd, Bld 38 E", , ,Pontiac,MI,Oakland,48341, , , , ,26125
Buffalo Police Department,Local police department,793, , , , , ,215 1St Ave Ne, , ,Buffalo,NY,Erie,14202, , , , ,36029
St. Louis County Police Dept,Local police department,781, , , , , ,7900 Forsyth Blvd, , ,St Louis,MO,St. Louis,63105, , , , ,29189
Oakland Police Department,Local police department,773, , , , , ,P.O. Box 56, , ,Oakland,CA,Alameda,94607, , , , ,6001
Norfolk Police Department,Local police department,772, , , , , ,117 Main St, , ,Norfolk,VA,Norfolk City,23510, , , , ,51710
Maricopa County Sheriff's Office,Sheriff's office,766, , , , , ,19Th Floor,100 W. Washington, ,Phoenix,AZ,Maricopa,85003, , , , ,4013
Alabama Department of Public Safety,Primary state law enforcement agency,763, , , , , ,P.O. Box 1511,301 South Ripley Street, ,Montgomery,AL,Montgomery,36102, , , , ,1101
Orlando Police Department,Local police department,757, , , , , ,100 South Hughey Avenue, , ,Orlando,FL,Orange,32801, , , , ,12095
Ventura County Sheriff's Office,Sheriff's office,755, , , , , ,800 S Victoria Ave, , ,Ventura,CA,Ventura,93009, , , , ,6111
Richmond Police Department,Local police department,752, , , , , ,207 Summit Street, , ,Richmond,VA,Richmond City,23220, , , , ,51760
Omaha Police Dept,Local police department,747, , , , , ,505 S. 15Th Street, , ,Omaha,NE,Douglas,68102, , , , ,31055
Colorado State Patrol,Primary state law enforcement agency,742, , , , , ,"700 Kipling St, Ste 2000", , ,Lakewood,CO,Jefferson,80215, , , , ,8059
Marion County Sheriff's Office,Sheriff's office,740, , , , , ,2715 E Highway 76 Ste C, , ,Indianapolis,IN,Marion,46204, , , , ,18097
King County Sheriff's Office,Sheriff's office,721, , , , , ,Po Box 66,800 US Hwy 82 & 83 Baker, ,Seattle,WA,King,98104, , , , ,53033
Rochester Police Department,Local police department,703, , , , , ,P. O. Box 186, , ,Rochester,NY,Monroe,14614, , , , ,36055
Raleigh Police Department,Local police department,702, , , , , ,Po Box 590, , ,Raleigh,NC,Wake,27602, , , , ,37183
Sacramento Police Department,Local police department,701, , , , , ,"5770 Freeport Blvd., Suite 100", , ,Sacramento,CA,Sacramento,95822, , , , ,6067
