agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Dallas County Sheriff's Office,Sheriff's office,449, , , , , ,"133 N Industrial Blvd, Lb-31", , ,Dallas,TX,Dallas,75207, , , , ,48113
Tarrant County Sheriff's Office,Sheriff's office,449, , , , , ,Plaza Building,"200 Taylor, 7th Floor", ,Fort Worth,TX,Tarrant,76102, , , , ,48439
Richmond County Sheriff's Office,Sheriff's office,449, , , , , ,Po Box 115, , ,Augusta,GA,Richmond,30901, , , , ,13245
Corpus Christi Police Department,Local police department,448, , , , , ,P. O. Box 9016, , ,Corpus Christi,TX,Nueces,78469, , , , ,48355
Loudoun County Sheriff's Office,Sheriff's office,448, , , , , ,39 Catoctin Circle Se, , ,Leesburg,VA,Loudoun,20175, , , , ,51107
Fort Wayne Police,Local police department,447, , , , , ,1320 E. Creighton Avenue, , ,Fort Wayne,IN,Allen,46803, , , , ,18003
Will County Sheriff's Office,Sheriff's office,445, , , , , ,14 W Jefferson St Rm 103, , ,Joliet,IL,Will,60432, , , , ,17197
Leon County Sheriff's Office,Sheriff's office,443, , , , , ,Po Box 278,606 E St Mary's St, ,Tallahassee,FL,Leon,32302, , , , ,12073
Washington Metropolitan Area Transit Authority Police,Special jurisdiction,442, , , , , ,"600 Fifth St., N.W. Rm 5 D 23", , ,Washington,DC,District of Columbia,20001, , , , ,11001
Caddo Parish Sheriff's Office,Sheriff's office,440, , , , , ,501 Texas St Rm 101, , ,Shreveport,LA,Caddo,71101, , , , ,22017
Madison Police Department,Local police department,437, , , , , ,Post Office Box 32, , ,Madison,WI,Dane,53703, , , , ,55025
New Haven Police Department,Local police department,436, , , , , ,Post Office Box 217, , ,New Haven,CT,New Haven,6519, , , , ,9009
Cobb County Sheriff's Office,Sheriff's office,435, , , , , ,185 Roswell St Ne, , ,Marietta,GA,Cobb,30060, , , , ,13067
Chattanooga Police Department,Local police department,434, , , , , ,3410 Amnicola Hwy., , ,Chattanooga,TN,Hamilton,37406, , , , ,47065
Salt Lake City Police Department,Local police department,433, , , , , ,Po Box 145497,P.O. Box 145497, ,Salt Lake City,UT,Salt Lake,84114, , , , ,49035
Ouachita Parish Sheriff's Office,Sheriff's office,431, , , , , ,400 St John St, , ,Monroe,LA,Ouachita,71201, , , , ,22073
Laredo Police Department,Local police department,430, , , , , ,4712 Maher Ave., , ,Laredo,TX,Webb,78041, , , , ,48479
Virginia Beach (City) Sheriff's Office,Sheriff's office,429, , , , , ,Po Box 6098,Municipal Center, ,Virginia Beach,VA,Virginia Beach City,23456, , , , ,51810
Howard County Police Department,Local police department,424, , , , , ,3410 Courthouse Dr, , ,Ellicott City,MD,Howard,21043, , , , ,24027
Richmond (City) Sheriff's Office,Sheriff's office,424, , , , , ,1701 Fairfield Way, , ,Richmond,VA,Richmond City,23223, , , , ,51760
Glendale Police Department,Local police department,424, , , , , ,424 N Sappington Rd, , ,Glendale,AZ,Maricopa,85301, , , , ,4013
Essex County Sheriff's Office,Sheriff's office,423, , , , , ,Po Box 955,304 Prince St, ,Newark,NJ,Essex,7102, , , , ,34013
Bridgeport Police Department,Local police department,422, , , , , ,812 Halsell,1000 THOMPSON STREET, ,Bridgeport,CT,Fairfield,6607, , , , ,9001
Dayton Police Department,Local police department,421, , , , , ,514 Sixth Ave., , ,Dayton,OH,Montgomery,45402, , , , ,39113
Hawaii (County) Police Department,Local police department,419, , , , , ,349 Kapiolani Street, , ,Hilo,HI,Hawaii,96720, , , , ,15001
"California Dept. of Justice, Div. of Law Enforcement",Special jurisdiction,419, , , , , ,6Th Floor,1102 Q Street, ,Sacramento,CA,Sacramento,95811, , , , ,6067
Scottsdale Police Dept,Local police department,417, , , , , ,Pdhq,8401 E. Indian School Road, ,Scottsdale,AZ,Maricopa,85251, , , , ,4013
Nevada Highway Patrol,Primary state law enforcement agency,417, , , , , ,555 Wright Way, , ,Carson City,NV,Carson,89711, , , , ,32510
Newport News Police Department,Local police department,415, , , , , ,9710 Jefferson Avenue, , ,Newport News,VA,Newport News City,23605, , , , ,51700
Stockton Police Department,Local police department,415, , , , , ,115 S Walnut, , ,Stockton,CA,San Joaquin,95202, , , , ,6077
Norfolk (City) Sheriff's Office,Sheriff's office,414, , , , , ,811 E City Hall Ave, , ,Norfolk,VA,Norfolk City,23510, , , , ,51710
Martin County Sheriff's Office,Sheriff's office,414, , , , , ,Po Box 180,Capitol Ave, ,Stuart,FL,Martin,34994, , , , ,12085
Washoe County Sheriff's Office,Sheriff's office,414, , , , , ,911 E Parr Blvd, , ,Reno,NV,Washoe,89512, , , , ,32031
St. Tammany Parish Sheriff's Office,Sheriff's office,409, , , , , ,Po Box 1120,Sheriff's Ofc, ,Covington,LA,St. Tammany,70434, , , , ,22103
Sarasota County Sheriff's Office,Sheriff's office,409, , , , , ,Po Box 4115, , ,Sarasota,FL,Sarasota,34230, , , , ,12115
Hartford Police Department,Local police department,408, , , , , ,19 West Main St, , ,Hartford,CT,Hartford,6120, , , , ,9003
Arapahoe County Sheriff's Office,Sheriff's office,407, , , , , ,13101 E Broncos Pkwy, , ,Centennial,CO,Arapahoe,80112, , , , ,8005
Suffolk County Sheriff's Office,Sheriff's office,406, , , , , ,20 Bradston St, , ,Boston,MA,Suffolk,2118, , , , ,25025
Huntsville Police Department,Local police department,405, , , , , ,205 S Main Street, , ,Huntsville,AL,Madison,35804, , , , ,1089
Fort Bend County Sheriff's Office,Sheriff's office,400, , , , , ,1410 Ransom Rd, , ,Richmond,TX,Fort Bend,77469, , , , ,48157
Columbus Police Department,Local police department,400, , , , , ,300 E Maple, , ,Columbus,GA,Muscogee,31902, , , , ,13215
Anaheim Police Department,Local police department,398, , , , , ,425 S. Harbor Boulevard, , ,Anaheim,CA,Orange,92805, , , , ,6059
Camden Police,Local police department,397, , , , , ,800 Federal Street, , ,Camden,NJ,Camden,8103, , , , ,34007
Greenville County Sheriff's Office,Sheriff's office,397, , , , , ,4 Mcgee St, , ,Greenville,SC,Greenville,29601, , , , ,45045
Ohio Department of Natural Resources - Office of Law Enforcement,Special jurisdiction,394, , , , , ,2045 Morse Rd. Bldg. D-3, , ,Columbus,OH,Franklin,43229, , , , ,39049
Summit County Sheriff's Office,Sheriff's office,393, , , , , ,Po Box 210,501 North Park Ave, ,Akron,OH,Summit,44308, , , , ,39153
Navajo Nation Tribal Department of Law Enforcement,Local police department,393, , , , , ,P O Box 3360, , ,Window Rock,AZ,Apache,86515, , , , ,4001
Osceola County Sheriff's Office,Sheriff's office,388, , , , , ,309 6Th St, , ,Kissimmee,FL,Osceola,34744, , , , ,12097
Escambia County Sheriff's Office,Sheriff's office,388, , , , , ,316 Court St, , ,Pensacola,FL,Escambia,32501, , , , ,12033
Du Page County Sheriff's Office,Sheriff's office,386, , , , , ,501 N County Farm Rd, , ,Wheaton,IL,Du Page,60187, , , , ,17043
Des Moines Police Department,Local police department,385, , , , , ,21900 11Th Ave South, , ,Des Moines,IA,Polk,50309, , , , ,19153
Riverside Police Department,Local police department,385, , , , , ,1791 Harshman Road, , ,Riverside,CA,Riverside,92501, , , , ,6065
Charleston Police Department,Local police department,382, , , , , ,Post Office Box 420, , ,Charleston,SC,Charleston,29403, , , , ,45019
Chesapeake Police Department,Local police department,376, , , , , ,304 Albemarle Drive, , ,Chesapeake,VA,Chesapeake City,23322, , , , ,51550
Lubbock Police Department,Local police department,376, , , , , ,P. O. Box 2000, , ,Lubbock,TX,Lubbock,79457, , , , ,48303
Atlantic City Police,Local police department,376, , , , , ,2711 Atlantic Avenue, , ,Atlantic City,NJ,Atlantic,8401, , , , ,34001
Knoxville Police Department,Local police department,375, , , , , ,P.O. Box 3610, , ,Knoxville,TN,Knox,37927, , , , ,47093
Miami Beach Police Department,Local police department,374, , , , , ,1100 Washington Avenue, , ,Miami Beach,FL,Miami-Dade,33139, , , , ,12086
Anchorage Police Department,Local police department,372, , , , , ,11506 Park Rd., , ,Anchorage,AK,Anchorage,99507, , , , ,2020
Tacoma Police Department,Local police department,371, , , , , ,3701 South Pine, , ,Tacoma,WA,Pierce,98409, , , , ,53053
Santa Ana Police Department,Local police department,369, , , , , ,60 Civic Center Plaza, , ,Santa Ana,CA,Orange,92701, , , , ,6059
Washington County Sheriff's Office,Sheriff's office,369, , , , , ,399 Broadway, , ,Hillsboro,OR,Washington,97123, , , , ,41067
Lafayette Parish Sheriff's Office,Sheriff's office,367, , , , , ,316 W Main St,PO Drawer 3508, ,Lafayette,LA,Lafayette,70501, , , , ,22055
North Carolina State Bureau of Investigation,Special jurisdiction,367, , , , , ,Po Box 29500, , ,Raleigh,NC,Wake,27626, , , , ,37183
Adams County Sheriff's Office,Sheriff's office,364, , , , , ,313 S 1St St,PO Box 608, ,Brighton,CO,Adams,80601, , , , ,8001
Arlington County Police Department,Local police department,364, , , , , ,1425 N. Courthouse Rd., , ,Arlington,VA,Arlington,22201, , , , ,51013
Tallahassee Police Department,Local police department,364, , , , , ,234 East Seventh Avenue, , ,Tallahassee,FL,Leon,32303, , , , ,12073
Reno Police Department,Local police department,362, , , , , ,Po Box 1900, , ,Reno,NV,Washoe,89505, , , , ,32031
East Baton Rouge Parish Sheriff's Office,Sheriff's office,359, , , , , ,Po Box 3277,300 North Blvd-Munic Bldg, ,Baton Rouge,LA,East Baton Rouge,70821, , , , ,22033
Chesapeake (City) Sheriff's Office,Sheriff's office,358, , , , , ,401 Albemarle Dr, , ,Chesapeake,VA,Chesapeake City,23322, , , , ,51550
New Castle County Police Department,Local police department,358, , , , , ,87 Reads Way, , ,New Castle,DE,New Castle,19720, , , , ,10003
Tempe Police Department,Local police department,357, , , , , ,120 E. 5Th Street, , ,Tempe,AZ,Maricopa,85281, , , , ,4013
Montgomery County Sheriff's Office,Sheriff's office,357, , , , , ,Po Box 432,200 Clark Dr, ,Conroe,TX,Montgomery,77301, , , , ,48339
Mecklenburg County Sheriff's Office,Sheriff's office,355, , , , , ,700 E 4Th St, , ,Charlotte,NC,Mecklenburg,28202, , , , ,37119
Seminole County Sheriff's Office,Sheriff's office,355, , , , , ,"Courthouse, 110 S Wewoka", , ,Sanford,FL,Seminole,32773, , , , ,12117
Kansas City Police Department,Local police department,354, , , , , ,1125 Locust Street, , ,Kansas City,KS,Wyandotte,66101, , , , ,20209
Wake County Sheriff's Office,Sheriff's office,354, , , , , ,Po Box 550, , ,Raleigh,NC,Wake,27602, , , , ,37183
Columbia Police Department,Local police department,351, , , , , ,Po Box 10, , ,Columbia,SC,Richland,29201, , , , ,45079
New Hampshire State Police,Primary state law enforcement agency,350, , , , , ,33 Hazen Dr,33 Hazel Dr., ,Concord,NH,Merrimack,3305, , , , ,33013
Marion County Sheriff's Office,Sheriff's office,349, , , , , ,2715 E Highway 76 Ste C, , ,Ocala,FL,Marion,34478, , , , ,12083
Elizabeth Police,Local police department,348, , , , , ,One Police Plaza, , ,Elizabeth,NJ,Union,7201, , , , ,34039
Bakersfield Police Department,Local police department,348, , , , , ,1601 Truxtun Avenue, , ,Bakersfield,CA,Kern,93301, , , , ,6029
Harris County Constable Pct. 4,Constable/marshal,346, , , , , ,6831 Cypresswood Dr,Attn: Lt. Walls, ,Spring,TX,Harris,77379, , , , ,48201
San Bernardino Police Department,Local police department,345, , , , , ,710 North D Street, , ,San Bernardino,CA,San Bernardino,92401, , , , ,6071
Irving Police Department,Local police department,344, , , , , ,Po Box 152288, , ,Irving,TX,Dallas,75015, , , , ,48113
South Carolina Law Enforcement Division,Special jurisdiction,344, , , , , ,Po Box 21398, , ,Columbia,SC,Richland,29221, , , , ,45079
Plano Police Department,Local police department,343, , , , , ,P. O. Box 860358, , ,Plano,TX,Collin,75086, , , , ,48085
New Jersey Division of Criminal Justice,Special jurisdiction,342, , , , , ,P.O. Box 085, , ,Trenton,NJ,Mercer,8625, , , , ,34021
Salt Lake County Sheriff's Office,Sheriff's office,342, , , , , ,2001 S State St Ste S2700, , ,Salt Lake City,UT,Salt Lake,84190, , , , ,49035
Fayetteville Police Department,Local police department,341, , , , , ,308 West Market Street, , ,Fayetteville,NC,Cumberland,28301, , , , ,37051
Los Angeles School Police Department,Special jurisdiction,340, , , , , ,1330 West Pico Boulevard, , ,Los Angleles,CA,Los Angeles,90015, , , , ,6037
Cherokee County Sheriff's Office,Sheriff's office,340, , , , , ,111 N 5Th St, , ,Canton,GA,Cherokee,30115, , , , ,13057
Hialeah Police Department,Local police department,338, , , , , ,5555 East 8Th Avenue, , ,Hialeah,FL,Miami-Dade,33013, , , , ,12086
Clayton County Police Department,Local police department,336, , , , , ,7930 N. Mcdonough Street, , ,Jonesboro,GA,Clayton,30236, , , , ,13063
Henderson Police Department,Local police department,336, , , , , ,223 Lead Street,PO Box 95050, ,Henderson,NV,Clark,89009, , , , ,32003
San Mateo County Sheriff's Office,Sheriff's office,334, , , , , ,400 County Ctr, , ,Redwood City,CA,San Mateo,94063, , , , ,6081
Maine State Police,Primary state law enforcement agency,334, , , , , ,"45 Commerce Drive, Suite 1", , ,Augusta,ME,Kennebec,4333, , , , ,23011
Chandler Police Department,Local police department,333, , , , , ,P. O. Box 425, , ,Chandler,AZ,Maricopa,85244, , , , ,4013
Hamilton County Sheriff's Office,Sheriff's office,330, , , , , ,Po Box 764,103 West Ave C, ,Cincinnati,OH,Hamilton,45202, , , , ,39061
California Dept of Fish And Game - Law Enforcement,Special jurisdiction,330, , , , , ,1416 Ninth St,Room 1326, ,Sacramento,CA,Sacramento,95814, , , , ,6067
Maui (County) Police Department,Local police department,329, , , , , ,55 Mahalani Street, , ,Wailuku,HI,Maui,96793, , , , ,15009
Albany Police Department,Local police department,328, , , , , ,204 Water St., , ,Albany,NY,Albany,12210, , , , ,36001
DeKalb County Sheriff's Office,Sheriff's office,325, , , , , ,4415 Memorial Dr, , ,Decatur,GA,DeKalb,30032, , , , ,13089
North Charleston Police Department,Local police department,325, , , , , ,Po Box 62558, , ,North Charleston,SC,Charleston,29419, , , , ,45019
Garland Police Department,Local police department,321, , , , , ,1891 Forest Lane, , ,Garland,TX,Dallas,75042, , , , ,48113
New York State Department of Environmental Conservation,Special jurisdiction,321, , , , , ,Division Of Law Enforcement, , ,Albany,NY,Albany,12233, , , , ,36001
Grand Rapids Police Department,Local police department,319, , , , , ,1 Monroe Center Nw, , ,Grand Rapids,MI,Kent,49503, , , , ,26081
Clackamas County Sheriff's Office,Sheriff's office,319, , , , , ,2223 Kaen Rd, , ,Oregon City,OR,Clackamas,97045, , , , ,41005
Hennepin County Sheriff's Office,Sheriff's office,319, , , , , ,350 S 5Th St,Room 6 Courthouse, ,Minneapolis,MN,Hennepin,55415, , , , ,27053
Harris County Constable Pct. 5,Constable/marshal,318, , , , , ,17423 Katy Freeway, , ,Houston,TX,Harris,77094, , , , ,48201
Hollywood Police Department,Local police department,316, , , , , ,Post Office Box 308, , ,Hollywood,FL,Broward,33021, , , , ,12011
Alexandria Police Department,Local police department,315, , , , , ,8236 W. Main St., , ,Alexandria,VA,Alexandria City,22314, , , , ,51510
Monterey County Sheriff's Office,Sheriff's office,315, , , , , ,1414 Natividad Rd, , ,Salinas,CA,Monterey,93906, , , , ,6053
New Hanover County Sheriff's Office,Sheriff's office,315, , , , , ,3950 Juvenile Center Rd, , ,Castle Hayne,NC,New Hanover,28429, , , , ,37129
Amarillo Police Department,Local police department,311, , , , , ,200 E. Third Avenue, , ,Amarillo,TX,Potter,79101, , , , ,48375
West Palm Beach Police Department,Local police department,310, , , , , ,600 Banyan Boulevard, , ,West Palm Beach,FL,Palm Beach,33401, , , , ,12099
MARTA Police Department,Special jurisdiction,309, , , , , ,2424 Piedmont Rd N.E., , ,Atlanta,GA,Fulton,30324, , , , ,13121
Henrico County Sheriff's Office,Sheriff's office,308, , , , , ,Po Box 27032, , ,Richmond,VA,Henrico,23273, , , , ,51087
Lincoln Police Dept,Local police department,308, , , , , ,911 Pekin St, , ,Lincoln,NE,Lancaster,68508, , , , ,31109
Vermont State Police,Primary state law enforcement agency,307, , , , , ,103 S. Main St., , ,Waterbury,VT,Washington,5671, , , , ,50023
Wilmington Police Department,Local police department,306, , , , , ,One Safety Square,300 N. Walnut Street, ,Wilmington,DE,New Castle,19801, , , , ,10003
Springfield Police Dept,Local police department,306, , , , , ,800 E Monroe  Room 345, , ,Springfield,MO,Greene,65802, , , , ,29077
Boise Police Department,Local police department,306, , , , , ,7200 Barrister, , ,Boise,ID,Ada,83704, , , , ,16001
New York State Park Police,Special jurisdiction,305, , , , , ,Agency Building #1,"Empire State Plaza, 11th Floor", ,Albany,NY,Albany,12238, , , , ,36001
Joliet Police Dept,Local police department,302, , , , , ,150 West Washington Street, , ,Joliet,IL,Will,60432, , , , ,17197
Rockford Police Dept,Local police department,300, , , , , ,420 West State Street, , ,Rockford,IL,Winnebago,61101, , , , ,17201
Cumberland County Sheriff's Office,Sheriff's office,300, , , , , ,Po Box 56,166 Courthouse Square, ,Fayetteville,NC,Cumberland,28301, , , , ,37051
Bossier Parish Sheriff's Office,Sheriff's office,300, , , , , ,Po Box 850, , ,Benton,LA,Bossier,71006, , , , ,22015
Butler County Sheriff's Office,Sheriff's office,300, , , , , ,Po Box 345,428 Sixth St, ,Hamilton,OH,Butler,45011, , , , ,39017
Terrebonne Parish Sheriff's Office,Sheriff's office,300, , , , , ,Po Box 1670, , ,Houma,LA,Terrebonne,70361, , , , ,22109
Aurora Police Dept,Local police department,297, , , , , ,715 12Th St., , ,Aurora,IL,Kane,60506, , , , ,17089
Mahoning County Sheriff's Office,Sheriff's office,297, , , , , ,110 5Th Ave,Justice Center, ,Youngstown,OH,Mahoning,44503, , , , ,39099
Spartanburg County Sheriff's Office,Sheriff's office,297, , , , , ,Po Box 771,8045 Howard St, ,Spartanburg,SC,Spartanburg,29304, , , , ,45083
Spokane Police Department,Local police department,295, , , , , ,West 1100 Mallon, , ,Spokane,WA,Spokane,99260, , , , ,53063
Santa Barbara County Sheriff's Office,Sheriff's office,294, , , , , ,4434 Calle Real,PO Box 6427, ,Santa Barbara,CA,Santa Barbara,93110, , , , ,6083
Pierce County Sheriff's Office,Sheriff's office,292, , , , , ,Po Box 226, , ,Tacoma,WA,Pierce,98402, , , , ,53053
St. Charles Parish Sheriff's Office,Sheriff's office,291, , , , , ,Po Box 426, , ,Hahnville,LA,St. Charles,70057, , , , ,22089
Hawaii Department of Public Safety,Primary state law enforcement agency,290, , , , , ,919 Ala Moana Blvd,Ste 400, ,Honolulu,HI,Honolulu,96814, , , , ,15003
Bibb County Sheriff's Office,Sheriff's office,290, , , , , ,668 Oglethorpe St,PO Box 930, ,Macon,GA,Bibb,31201, , , , ,13021
Travis County Sheriff's Office,Sheriff's office,290, , , , , ,P.O. Box 1748, , ,Austin,TX,Travis,78767, , , , ,48453
Charles County Sheriff's Office,Sheriff's office,289, , , , , ,6915 Crain Hwy,PO Box 189, ,La Plata,MD,Charles,20646, , , , ,24017
Lucas County Sheriff's Office,Sheriff's office,289, , , , , ,1023 Linden Ave,PO Box 816, ,Toledo,OH,Lucas,43604, , , , ,39095
New Bedford Police Department,Local police department,288, , , , , ,871 Rockdale Avenue, , ,New Bedford,MA,Bristol,2740, , , , ,25005
Snohomish County Sheriff's Office,Sheriff's office,287, , , , , ,3000 Rockefeller Ave,M/S 606, ,Everett,WA,Snohomish,98201, , , , ,53061
Montgomery County Sheriff's Office,Sheriff's office,287, , , , , ,Po Box 432,200 Clark Dr, ,Clarksville,TN,Montgomery,37040, , , , ,47125
Lafourche Parish Sheriff's Office,Sheriff's office,287, , , , , ,200 Canal Blvd Attn: Beccy Hebert,PO Box 5608, ,Thibodaux,LA,Lafourche,70302, , , , ,22057
Lake County Sheriff's Office,Sheriff's office,286, , , , , ,513 CENTER STREET, , ,Tavares,FL,Lake,32778, , , , ,12069
Charlotte County Sheriff's Office,Sheriff's office,285, , , , , ,222 Law Ln, , ,Punta Gorda,FL,Charlotte,33982, , , , ,12015
Topeka Police Department,Local police department,283, , , , , ,320 S Kansas St Suite 100, , ,Topeka,KS,Shawnee,66603, , , , ,20177
East Orange Police,Local police department,283, , , , , ,61 North Munn Avenue, , ,East Orange,NJ,Essex,7017, , , , ,34013
Lakewood Police Department,Local police department,282, , , , , ,12650 Detroit Avenue, , ,Lakewood,CO,Jefferson,80226, , , , ,8059
Tennessee Bureau of Investigation,Special jurisdiction,281, , , , , ,901 R. S. Gass Blvd., , ,Nashville,TN,Davidson,37216, , , , ,47037
Harford County Sheriff's Office,Sheriff's office,280, , , , , ,45 S Main St,PO Box 150, ,Bel Air,MD,Harford,21014, , , , ,24025
San Joaquin County Sheriff's Office,Sheriff's office,280, , , , , ,7000 S Michael N Canlis Way, , ,French Camp,CA,San Joaquin,95231, , , , ,6077
Bernalillo County Sheriff's Office,Sheriff's office,279, , , , , ,Po Box 25927,400 Roma NW, ,Albuquerque,NM,Bernalillo,87125, , , , ,35001
Georgia Bureau of Investigation,Special jurisdiction,278, , , , , ,3121 Panthersville Road, , ,Decatur,GA,DeKalb,30034, , , , ,13089
Evansville Police,Local police department,277, , , , , ,15 N.W. Mlk Jr. Blvd., , ,Evansville,IN,Vanderburgh,47708, , , , ,18163
Texas Alcoholic Beverage Commission,Special jurisdiction,277, , , , , ,5806 Mesa Drive,Enforcement Training Section, ,Austin,TX,Travis,78731, , , , ,48453
Alachua County Sheriff's Office,Sheriff's office,276, , , , , ,Po Box 1210,2621 Hawthorne Rd, ,Gainesville,FL,Alachua,32602, , , , ,12001
Gainesville Police Department,Local police department,275, , , , , ,201 Santa Fe St., , ,Gainesville,FL,Alachua,32602, , , , ,12001
Tennessee Wildlife Resources Agency,Special jurisdiction,275, , , , , ,P.O. Box 40747, , ,Nashville,TN,Davidson,37204, , , , ,47037
Alaska State Troopers,Primary state law enforcement agency,274, , , , , ,5700 E Tudor Road, , ,Anchorage,AK,Anchorage,99507, , , , ,2020
Springfield Police Dept,Local police department,273, , , , , ,800 E Monroe  Room 345, , ,Springfield,IL,Sangamon,62701, , , , ,17167
McAllen Police Department,Local police department,273, , , , , ,P.O. Box 220,1601 N. BICENTENNIAL, ,McAllen,TX,Hidalgo,78505, , , , ,48215
Monroe County Sheriff's Office,Sheriff's office,273, , , , , ,301 N College Ave,Justice Building, ,Rochester,NY,Monroe,14614, , , , ,36055
Cambridge Police Department,Local police department,272, , , , , ,125 sixth street, , ,Cambridge,MA,Middlesex,2142, , , , ,25017
Westchester County Department of Public Safety,Local police department,270, , , , , ,1 Saw Mill River Parkway, , ,Hawthorne,NY,Westchester,10532, , , , ,36119
Macon Police Department,Local police department,270, , , , , ,301 E Bourke Street, , ,Macon,GA,Bibb,31202, , , , ,13021
Suffolk County Sheriff's Office,Sheriff's office,270, , , , , ,20 Bradston St, , ,Riverhead,NY,Suffolk,11901, , , , ,36103
St. Johns County Sheriff's Office,Sheriff's office,269, , , , , ,4015 Lewis Speedway, , ,Saint Augustine,FL,St. Johns,32084, , , , ,12109
Wilmington Police Department,Local police department,266, , , , , ,One Safety Square,300 N. Walnut Street, ,Wilmington,NC,New Hanover,28402, , , , ,37129
Roanoke City Police Department,Local police department,264, , , , , ,348 Campbell Avenue Sw, , ,Roanoke,VA,Roanoke City,24016, , , , ,51770
Glendale Police Department,Local police department,264, , , , , ,424 N Sappington Rd, , ,Glendale,CA,Los Angeles,91206, , , , ,6037
Idaho State Police,Primary state law enforcement agency,264, , , , , ,700 S. Stratford Drive, , ,Meridian,ID,Ada,83642, , , , ,16001
Tuscaloosa Police Department,Local police department,263, , , , , ,3801 Mill Creek Avenue, , ,Tuscaloosa,AL,Tuscaloosa,35401, , , , ,1125
Morris County Sheriff's Office,Sheriff's office,262, , , , , ,"Courthouse, Washington St",PO Box 900, ,Morristown,NJ,Morris,7963, , , , ,34027
Hidalgo County Sheriff's Office,Sheriff's office,262, , , , , ,711 El Cibolo Road, , ,Edinburg,TX,Hidalgo,78542, , , , ,48215
Modesto Police Department,Local police department,262, , , , , ,601 - 10Th Street, , ,Modesto,CA,Stanislaus,95353, , , , ,6099
Maryland State Forest And Park Service,Special jurisdiction,261, , , , , ,"Tawes, 580 Taylor Avenue; E-3", , ,Annapolis,MD,Anne Arundel,21401, , , , ,24003
Ascension Parish Sheriff's Office,Sheriff's office,260, , , , , ,Po Box 268, , ,Donaldsonville,LA,Ascension,70346, , , , ,22005
Pasadena Police Department,Local police department,260, , , , , ,1114 JEFF GINN MEMORIAL DRIVE, , ,Pasadena,TX,Harris,77506, , , , ,48201
Charleston County Sheriff's Office,Sheriff's office,259, , , , , ,3505 Pinehaven Dr, , ,Charleston,SC,Charleston,29405, , , , ,45019
St. Lucie County Sheriff's Office,Sheriff's office,259, , , , , ,4700 W Midway Rd, , ,Fort Pierce,FL,St. Lucie,34981, , , , ,12111
Overland Park Police Department,Local police department,258, , , , , ,12400 Foster St, , ,Overland Park,KS,Johnson,66213, , , , ,20091
Okaloosa County Sheriff's Office,Sheriff's office,258, , , , , ,1250 Eglin Pkwy, , ,Shalimar,FL,Okaloosa,32579, , , , ,12091
Hall County Sheriff's Office,Sheriff's office,257, , , , , ,"512 Main St, Ste 7", , ,Gainesville,GA,Hall,30501, , , , ,13139
SEPTA Transit Police,Special jurisdiction,256, , , , , ,"1234 Market Street, 4Th Floor", , ,Philadelphia,PA,Philadelphia,19107, , , , ,42101
Waterbury Police Department,Local police department,256, , , , , ,P.O. Box 9, , ,Waterbury,CT,New Haven,6702, , , , ,9009
MBTA Transit Police,Special jurisdiction,256, , , , , ,240 Southampton Street, , ,Boston,MA,Suffolk,2118, , , , ,25025
South Bend Police,Local police department,255, , , , , ,701 West Sample Street, , ,South Bend,IN,St. Joseph,46601, , , , ,18141
Marion County Sheriff's Office,Sheriff's office,255, , , , , ,2715 E Highway 76 Ste C, , ,Salem,OR,Marion,97301, , , , ,41047
Clearwater Police Department,Local police department,255, , , , , ,Po Box 453, , ,Clearwater,FL,Pinellas,33756, , , , ,12103
Barnstable County Sheriff's Office,Sheriff's office,254, , , , , ,6000 Sheriff  Place, , ,Bourne,MA,Barnstable,2532, , , , ,25001
Forsyth County Sheriff's Office,Sheriff's office,253, , , , , ,120 W 3Rd St,PO Box 21089, ,Cumming,GA,Forsyth,30040, , , , ,13117
Sonoma County Sheriff's Office,Sheriff's office,251, , , , , ,2796 Ventura Ave, , ,Santa Rosa,CA,Sonoma,95403, , , , ,6097
Washington State Parks and Recreation Commission,Special jurisdiction,250, , , , , ,P.O. Box 42650, , ,Olympia,WA,Thurston,95804, , , , ,53067
Concordia Parish Sheriff's Office,Sheriff's office,250, , , , , ,4001 Carter St Rm 7, , ,Vidalia,LA,Concordia,71373, , , , ,22029
Daytona Beach Police Department,Local police department,250, , , , , ,990 Orange Avenue, , ,Daytona Beach,FL,Volusia,32114, , , , ,12127
Hernando County Sheriff's Office,Sheriff's office,249, , , , , ,Po Box 10070,18900 Cortez Blvd, ,Brooksville,FL,Hernando,34603, , , , ,12053
Lexington County Sheriff's Office,Sheriff's office,249, , , , , ,Po Box 639, , ,Lexington,SC,Lexington,29071, , , , ,45063
El Paso County Sheriff's Office,Sheriff's office,248, , , , , ,3850 Justice Drive, , ,El Paso,TX,El Paso,79938, , , , ,48141
Beaumont Police Department,Local police department,246, , , , , ,P. O. Box 3827, , ,Beaumont,TX,Jefferson,77704, , , , ,48245
Waco Police Department,Local police department,246, , , , , ,721 N. 4Th, , ,Waco,TX,McLennan,76701, , , , ,48309
Peoria Police Dept,Local police department,246, , , , , ,600 Sw Adams, , ,Peoria,IL,Peoria,61602, , , , ,17143
Pasadena Police Department,Local police department,246, , , , , ,1114 JEFF GINN MEMORIAL DRIVE, , ,Pasadena,CA,Los Angeles,91101, , , , ,6037
