agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
San Antonio Park Rangers,Special jurisdiction,112, , , , , ,600 Hemisfair Park  No. 337, , ,San Antonio,TX,Bexar,78205, , , , ,48029,"600 Hemisfair Park  No. 337, San Antonio, TX 78205",29.41902109999999,-98.48563449999999
College Station Police Department,Local police department,112, , , , , ,2611 Texas Avenue, , ,College Station,TX,Brazos,77842, , , , ,48041,"2611 Texas Avenue, College Station, TX 77842",30.6041055,-96.3028112
Kingsport Police Department,Local police department,111, , , , , ,200 Shelby St., , ,Kingsport,TN,Sullivan,37660, , , , ,47163,"200 Shelby St., Kingsport, TN 37660",36.5477075,-82.56176649999999
Dorchester County Sheriff's Office,Sheriff's office,111, , , , , ,100 Sears St, , ,Saint George,SC,Dorchester,29477, , , , ,45035,"100 Sears St, Saint George, SC 29477",33.1851668,-80.5781933
Edinburg Police Department,Local police department,110, , , , , ,100 E. Freddy Gonzalez Drive,1702 S. CLOSNER BLVD, ,Edinburg,TX,Hidalgo,78539, , , , ,48215,"100 E. Freddy Gonzalez Drive, Edinburg, TX 78539",26.2862029,-98.16465749999999
Calvert County Sheriff's Office,Sheriff's office,110, , , , , ,30 Church St, , ,Prince Frederick,MD,Calvert,20678, , , , ,24009,"30 Church St, Prince Frederick, MD 20678",38.5385752,-76.5876715
North Richland Hills Police Department,Local police department,109, , , , , ,7301 Northeast Loop 820, , ,North Richland Hills,TX,Tarrant,76180, , , , ,48439,"7301 Northeast Loop 820, North Richland Hills, TX 76180",32.8383749,-97.2253897
Florence Police Department,Local police department,109, , , , , ,8100 Ewing Blvd., , ,Florence,SC,Florence,29501, , , , ,45041,"8100 Ewing Blvd., Florence, SC 29501",34.1954331,-79.7625625
North Carolina Alcohol Law Enforcement,Special jurisdiction,108, , , , , ,4704 Mail Service Ctr., , ,Raleigh,NC,Wake,27699, , , , ,37183,"4704 Mail Service Ctr., Raleigh, NC 27699",35.67,-78.66
Ocean City Police Department,Local police department,107, , , , , ,6501 Coastal Highway, , ,Ocean City,MD,Worcester,21842, , , , ,24047,"6501 Coastal Highway, Ocean City, MD 21842",38.3885874,-75.0688914
Sumter Police Department,Local police department,107, , , , , ,107 E. Hampton Ave., , ,Sumter,SC,Sumter,29150, , , , ,45085,"107 E. Hampton Ave., Sumter, SC 29150",33.9219028,-80.3392963
Cameron County Sheriff's Office,Sheriff's office,107, , , , , ,20 E 5Th St,Courthouse, ,Olmito,TX,Cameron,78575, , , , ,48061,"20 E 5Th St, Olmito, TX 78575",26.0217447,-97.5341533
Harnett County Sheriff's Office,Sheriff's office,106, , , , , ,Po Box 399, , ,Lillington,NC,Harnett,27546, , , , ,37085,"Po Box 399, Lillington, NC 27546",35.39932700000001,-78.8158528
Allen Police Department,Local police department,106, , , , , ,P. O. Box 402, , ,Allen,TX,Collin,75013, , , , ,48085,"P. O. Box 402, Allen, TX 75013",33.1128019,-96.6958939
Victoria Police Department,Local police department,106, , , , , ,P.O. Box V, , ,Victoria,TX,Victoria,77901, , , , ,48469,"P.O. Box V, Victoria, TX 77901",28.80663839999999,-96.99609249999999
Vermilion Parish Sheriff's Office,Sheriff's office,106, , , , , ,Po Box 307,101 South State St, ,Abbeville,LA,Vermilion,70511, , , , ,22113,"Po Box 307, Abbeville, LA 70511",29.9815401,-92.1217882
Jackson Parish Sheriff's Office,Sheriff's office,105, , , , , ,500 E Court St Rm 100, , ,Jonesboro,LA,Jackson,71251, , , , ,22049,"500 E Court St Rm 100, Jonesboro, LA 71251",32.2403116,-92.71601969999999
Acadia Parish Sheriff's Office,Sheriff's office,105, , , , , ,1037 Capitol Ave,PO Box 289, ,Crowley,LA,Acadia,70527, , , , ,22001,"1037 Capitol Ave, Crowley, LA 70527",30.2070536,-92.39830669999999
Hagerstown Police Department,Local police department,105, , , , , ,50 N. Burhans Blvd., , ,Hagerstown,MD,Washington,21740, , , , ,24043,"50 N. Burhans Blvd., Hagerstown, MD 21740",39.645748,-77.7261925
Burlington Police Department,Local police department,105, , , , , ,"311 Cedar Street, Suite B", , ,Burlington,NC,Alamance,27216, , , , ,37001,"311 Cedar Street, Suite B, Burlington, NC 27216",36.0959767,-79.43716049999999
Bartlett Police Department,Local police department,105, , , , , ,56 Town Hall Road, , ,Bartlett,TN,Shelby,38133, , , , ,47157,"56 Town Hall Road, Bartlett, TN 38133",35.2045328,-89.8739753
Onslow County Sheriff's Office,Sheriff's office,104, , , , , ,701 Mill Ave, , ,Jacksonville,NC,Onslow,28540, , , , ,37133,"701 Mill Ave, Jacksonville, NC 28540",34.751505,-77.43166409999999
South Carolina State Transport Police,Special jurisdiction,103, , , , , ,10311 Wilson Blvd, , ,Blythewood,SC,Richland,29016, , , , ,45079,"10311 Wilson Blvd, Blythewood, SC 29016",34.1782945,-80.97378959999999
Oro Valley Police Department,Local police department,103, , , , , ,11000 North La Canada Drive, , ,Oro Valley,AZ,Pima,85737, , , , ,4019,"11000 North La Canada Drive, Oro Valley, AZ 85737",32.4077827,-110.9952471
Maryland National Capital Park Police - Prince George's County,Special jurisdiction,102, , , , , ,6700 Riverdale Road, , ,Riverdale,MD,Prince Georges,20737, , , , ,24033,"6700 Riverdale Road, Riverdale, MD 20737",38.9628012,-76.9024074
Goldsboro Police Department,Local police department,101, , , , , ,Po Drawer A, , ,Goldsboro,NC,Wayne,27533, , , , ,37191,"Po Drawer A, Goldsboro, NC 27533",35.38,-77.99
Avondale Police Department,Local police department,101, , , , , ,11485 W Civic Center Drive, , ,Avondale,AZ,Maricopa,85323, , , , ,4013,"11485 W Civic Center Drive, Avondale, AZ 85323",33.4430827,-112.3046247
Franklin Parish Sheriff's Office,Sheriff's office,100, , , , , ,6556 Main St, , ,Winnsboro,LA,Franklin,71295, , , , ,22041,"6556 Main St, Winnsboro, LA 71295",32.165727,-91.71371820000002
Pickens County Sheriff's Office,Sheriff's office,99, , , , , ,"2985 Camp Rd, Ste 100", , ,Pickens,SC,Pickens,29671, , , , ,45077,"2985 Camp Rd, Ste 100, Pickens, SC 29671",34.8834489,-82.7073573
Williamson County Sheriff's Office,Sheriff's office,99, , , , , ,200 W Jefferson St, , ,Franklin,TN,Williamson,37064, , , , ,47187,"200 W Jefferson St, Franklin, TN 37064",35.9250637,-86.8688899
Conroe Police Department,Local police department,99, , , , , ,700 Old Montgomery Road, , ,Conroe,TX,Montgomery,77301, , , , ,48339,"700 Old Montgomery Road, Conroe, TX 77301",30.3103502,-95.46258689999999
Collierville Police Department,Local police department,99, , , , , ,156 N. Rowlett, , ,Collierville,TN,Shelby,38017, , , , ,47157,"156 N. Rowlett, Collierville, TN 38017",35.0425779,-89.667147
Baltimore (City) Sheriff's Office,Sheriff's office,99, , , , , ,100 N Calvert St Ste 104, , ,Baltimore,MD,Baltimore City,21202, , , , ,24510,"100 N Calvert St Ste 104, Baltimore, MD 21202",39.290816,-76.61323399999999
Lincoln County Sheriff's Office,Sheriff's office,98, , , , , ,4151 Thornton Taylor Pkwy, , ,Lincolnton,NC,Lincoln,28093, , , , ,37109,"4151 Thornton Taylor Pkwy, Lincolnton, NC 28093",35.472453,-81.25341279999999
Johnston County Sheriff's Office,Sheriff's office,97, , , , , ,110 North Capital Ave, , ,Smithfield,NC,Johnston,27577, , , , ,37101,"110 North Capital Ave, Smithfield, NC 27577",35.5084935,-78.3394455
Pointe Coupee Parish Sheriff's Office,Sheriff's office,97, , , , , ,Po Box 248, , ,New Roads,LA,Pointe Coupee,70760, , , , ,22077,"Po Box 248, New Roads, LA 70760",30.6955107,-91.4341585
Pharr Police Department,Local police department,96, , , , , ,1900 S.Cage, , ,Pharr,TX,Hidalgo,78577, , , , ,48215,"1900 S.Cage, Pharr, TX 78577",26.1718971,-98.1886134
Comal County Sheriff's Office,Sheriff's office,96, , , , , ,3005 W San Antonio St, , ,New Braunfels,TX,Comal,78130, , , , ,48091,"3005 W San Antonio St, New Braunfels, TX 78130",29.68057319999999,-98.15118220000001
Goodyear Police Department,Local police department,96, , , , , ,1111 S Litchfield Road, , ,Goodyear,AZ,Maricopa,85338, , , , ,4013,"1111 S Litchfield Road, Goodyear, AZ 85338",33.4363428,-112.3579882
San Marcos Police Department,Local police department,95, , , , , ,2300 S. Ih-35, , ,San Marcos,TX,Hays,78666, , , , ,48209,"2300 S. Ih-35, San Marcos, TX 78666",29.8546291,-97.9574667
Victoria County Sheriff's Office,Sheriff's office,95, , , , , ,101 N Glass St, , ,Victoria,TX,Victoria,77901, , , , ,48469,"101 N Glass St, Victoria, TX 77901",28.8002906,-97.0086053
Gregg County Sheriff's Office,Sheriff's office,95, , , , , ,101 E Methvin St Ste 559, , ,Longview,TX,Gregg,75601, , , , ,48183,"101 E Methvin St Ste 559, Longview, TX 75601",32.4981111,-94.7393598
Washington County Sheriff's Office,Sheriff's office,94, , , , , ,399 Broadway, , ,Hagerstown,MD,Washington,21740, , , , ,24043,"399 Broadway, Hagerstown, MD 21740",39.6473856,-77.7132525
University of Texas Health Science Center Police,Special jurisdiction,94, , , , , ,1515 Holcombe, , ,Houston,TX,Harris,77030, , , , ,48201,"1515 Holcombe, Houston, TX 77030",29.707053,-95.3971227
Texarkana Police Department,Local police department,94, , , , , ,"100 N. State Line, Box 16", , ,Texarkana,TX,Bowie,75501, , , , ,48037,"100 N. State Line, Box 16, Texarkana, TX 75501",33.4208569,-94.0431833
League City Police Department,Local police department,93, , , , , ,500 West Walker, , ,League City,TX,Galveston,77573, , , , ,48167,"500 West Walker, League City, TX 77573",29.5023658,-95.0956956
Gretna Police Department,Local police department,93, , , , , ,105 South Shelton St., , ,Gretna,LA,Jefferson,70053, , , , ,22051,"105 South Shelton St., Gretna, LA 70053",29.9146493,-90.0539603
Lancaster County Sheriff's Office,Sheriff's office,93, , , , , ,8293 Mary Ball Rd, , ,Lancaster,SC,Lancaster,29720, , , , ,45057,"8293 Mary Ball Rd, Lancaster, SC 29720",34.7204257,-80.7709014
Gila River Tribal Police Department,Local police department,93, , , , , ,P.O. Box 2186, , ,Sacaton,AZ,Pinal,85247, , , , ,4021,"P.O. Box 2186, Sacaton, AZ 85247",33.0767225,-111.7392993
Potter County Sheriff's Office,Sheriff's office,93, , , , , ,201 S Exene St, , ,Amarillo,TX,Potter,79101, , , , ,48375,"201 S Exene St, Amarillo, TX 79101",35.2045402,-101.8407065
Mohave County Sheriff's Office,Sheriff's office,92, , , , , ,Po Box 1191,600 W Beale St, ,Kingman,AZ,Mohave,86402, , , , ,4015,"Po Box 1191, Kingman, AZ 86402",35.1959089,-114.0336385
Wilson County Sheriffs Office,Sheriff's office,92, , , , , ,100 Green St E,PO BOX 1666, ,Wilson,NC,Wilson,27894, , , , ,37195,"100 Green St E, Wilson, NC 27894",35.7260392,-77.90988209999999
Orangeburg County Sheriff's Office,Sheriff's office,92, , , , , ,1520 Ellis Ave, , ,Orangeburg,SC,Orangeburg,29118, , , , ,45075,"1520 Ellis Ave, Orangeburg, SC 29118",33.5116619,-80.8521655
Hendersonville Police Department,Local police department,92, , , , , ,Po Box 1670, , ,Hendersonville,TN,Sumner,37075, , , , ,47165,"Po Box 1670, Hendersonville, TN 37075",36.333532,-86.62167459999999
New Braunfels Police Department,Local police department,92, , , , , ,1488 S. Seguin Ave., , ,New Braunfels,TX,Comal,78130, , , , ,48091,"1488 S. Seguin Ave., New Braunfels, TX 78130",29.6878181,-98.1093669
Anderson Police Department,Local police department,91, , , , , ,401 South Main Street, , ,Anderson,SC,Anderson,29624, , , , ,45007,"401 South Main Street, Anderson, SC 29624",34.5009613,-82.6494803
Lake Havasu City Police Department,Local police department,91, , , , , ,2360 Mcculloch Boulevard North, , ,Lake Havasu City,AZ,Mohave,86403, , , , ,4015,"2360 Mcculloch Boulevard North, Lake Havasu City, AZ 86403",34.4781035,-114.3180717
Austin Airport Police,Special jurisdiction,91, , , , , ,3600 Presidential Blvd,Suite 508, ,Austin,TX,Travis,78719, , , , ,48453,"3600 Presidential Blvd, Austin, TX 78719",30.2117424,-97.6687353
Brazos County Sheriff's Office,Sheriff's office,90, , , , , ,1700 Highway 21 West, , ,Bryan,TX,Brazos,77803, , , , ,48041,"1700 Highway 21 West, Bryan, TX 77803",30.6763253,-96.39304680000001
St. Landry Parish Sheriff's Office,Sheriff's office,90, , , , , ,Po Box 1029, , ,Opelousas,LA,St. Landry,70571, , , , ,22097,"Po Box 1029, Opelousas, LA 70571",30.535195,-92.072237
Grapevine Police Department,Local police department,90, , , , , ,307 W. Dallas Rd., , ,Grapevine,TX,Tarrant,76051, , , , ,48439,"307 W. Dallas Rd., Grapevine, TX 76051",32.93220670000001,-97.080393
Rockingham County Sheriff's Office,Sheriff's office,90, , , , , ,Po Box 128, , ,Wentworth,NC,Rockingham,27375, , , , ,37157,"Po Box 128, Wentworth, NC 27375",36.39935,-79.76017999999999
New Bern Police Department,Local police department,90, , , , , ,Po Box 1129, , ,New Bern,NC,Craven,28563, , , , ,37049,"Po Box 1129, New Bern, NC 28563",35.1,-77.1
University of Maryland - College Park Police,Special jurisdiction,90, , , , , ,Dept Of Public Safety Headquarters,Building 003, ,College Park,MD,Prince Georges,20742, , , , ,24033,"Dept Of Public Safety Headquarters, College Park, MD 20742",38.9896967,-76.93776
Ector County Sheriff's Office,Sheriff's office,89, , , , , ,Po Box 2066, , ,Odessa,TX,Ector,79760, , , , ,48135,"Po Box 2066, Odessa, TX 79760",31.8463268,-102.3665236
Cleveland Police Department,Local police department,89, , , , , ,209 W Main Street, , ,Cleveland,TN,Bradley,37311, , , , ,47011,"209 W Main Street, Cleveland, TN 37311",35.0981107,-84.9297206
Bell County Sheriff's Office,Sheriff's office,88, , , , , ,Po Box 448,County Courthouse, ,Belton,TX,Bell,76513, , , , ,48027,"Po Box 448, Belton, TX 76513",31.0560132,-97.46445299999999
Johnson County Sheriff's Office,Sheriff's office,88, , , , , ,230 DONOVAN-HARRISON RD, , ,Cleburne,TX,Johnson,76031, , , , ,48251,"230 DONOVAN-HARRISON RD, Cleburne, TX 76031",32.3476438,-97.38668369999999
Salisbury Police Department,Local police department,88, , , , , ,"27 Main Street, Town Hall",Resident Troopers Office, ,Salisbury,MD,Wicomico,21801, , , , ,24045,"27 Main Street, Town Hall, Salisbury, MD 21801",38.3656193,-75.6006869
Smith County Sheriff's Office,Sheriff's office,88, , , , , ,217 S Jefferson St, , ,Tyler,TX,Smith,75710, , , , ,48423,"217 S Jefferson St, Tyler, TX 75710",32.3512601,-95.30106239999999
Dallas I.S.D. Police Dept.,Special jurisdiction,88, , , , , ,1402 Seegar St., , ,Dallas,TX,Dallas,75215, , , , ,48113,"1402 Seegar St., Dallas, TX 75215",32.7674447,-96.7878278
Morristown Police Department,Local police department,87, , , , , ,P.O. Box 1283, , ,Morristown,TN,Hamblen,37816, , , , ,47063,"P.O. Box 1283, Morristown, TN 37816",36.21,-83.3
Germantown Police Department,Local police department,87, , , , , ,N112 W16877 Mequon Road,P.O. Box 96, ,Germantown,TN,Shelby,38138, , , , ,47157,"N112 W16877 Mequon Road, Germantown, TN 38138",35.0867577,-89.8100858
Ellis County Sheriff's Office,Sheriff's office,87, , , , , ,300 S Jackson St, , ,Waxahachie,TX,Ellis,75165, , , , ,48139,"300 S Jackson St, Waxahachie, TX 75165",32.3838002,-96.8479983
Salisbury Police Department,Local police department,86, , , , , ,"27 Main Street, Town Hall",Resident Troopers Office, ,Salisbury,NC,Rowan,28145, , , , ,37159,"27 Main Street, Town Hall, Salisbury, NC 28145",35.6626653,-80.4647588
Burke County Sheriff's Office,Sheriff's office,86, , , , , ,Po Box 702,225 Ga Hwy 24 S, ,Morganton,NC,Burke,28655, , , , ,37023,"Po Box 702, Morganton, NC 28655",35.7454071,-81.6848188
"South Carolina Parks, Recreation & Tourism",Special jurisdiction,86, , , , , ,1205 Pendleton Street, , ,Columbia,SC,Richland,29201, , , , ,45079,"1205 Pendleton Street, Columbia, SC 29201",33.9990275,-81.03169729999999
Washington County Sheriff's Office,Sheriff's office,86, , , , , ,399 Broadway, , ,Johnson City,TN,Washington,37605, , , , ,47179,"399 Broadway, Johnson City, TN 37605",36.3325278,-82.34116
Texas City Police Department,Local police department,85, , , , , ,1004 9Th Ave North, , ,Texas City,TX,Galveston,77590, , , , ,48167,"1004 9Th Ave North, Texas City, TX 77590",29.394651,-94.9088931
Wayne County Sheriff's Office,Sheriff's office,85, , , , , ,510 N Pearl St, , ,Goldsboro,NC,Wayne,27533, , , , ,37191,"510 N Pearl St, Goldsboro, NC 27533",35.4660001,-78.1505279
Flower Mound Police Department,Local police department,85, , , , , ,4150 Kirkpatrick, , ,Flower Mound,TX,Denton,75028, , , , ,48121,"4150 Kirkpatrick, Flower Mound, TX 75028",33.041308,-97.043195
Baltimore County Sheriff's Office,Sheriff's office,84, , , , , ,401 Bosley Ave, , ,Towson,MD,Baltimore,21204, , , , ,24005,"401 Bosley Ave, Towson, MD 21204",39.4004577,-76.6079651
Sampson County Sheriff's Office,Sheriff's office,84, , , , , ,112 Fontana St, , ,Clinton,NC,Sampson,28328, , , , ,37163,"112 Fontana St, Clinton, NC 28328",34.992445,-78.3028849
Euless Police Department,Local police department,83, , , , , ,1102 W Euless Blvd, , ,Euless,TX,Tarrant,76040, , , , ,48439,"1102 W Euless Blvd, Euless, TX 76040",32.8290476,-97.10220439999999
Bullhead City Police Department,Local police department,83, , , , , ,1255 Marina Boulevard, , ,Bullhead City,AZ,Mohave,86442, , , , ,4015,"1255 Marina Boulevard, Bullhead City, AZ 86442",35.1013469,-114.6030899
Cleveland County Sheriff's Office,Sheriff's office,83, , , , , ,Po Box 1508, , ,Shelby,NC,Cleveland,28151, , , , ,37045,"Po Box 1508, Shelby, NC 28151",35.4164535,-81.6436207
Aiken Public Safety,Local police department,83, , , , , ,Po Drawer 1177,"251 Laurens St, NW", ,Aiken,SC,Aiken,29801, , , , ,45003,"Po Drawer 1177, Aiken, SC 29801",33.5604168,-81.7195533
Cochise County Sheriff's Office,Sheriff's office,83, , , , , ,205 N Judd Dr, , ,Bisbee,AZ,Cochise,85603, , , , ,4003,"205 N Judd Dr, Bisbee, AZ 85603",31.4327209,-109.8718157
Northside I.S.D. Police Dept.,Special jurisdiction,83, , , , , ,5619 Grissom Road, , ,San Antonio,TX,Bexar,78238, , , , ,48029,"5619 Grissom Road, San Antonio, TX 78238",29.4859063,-98.6261406
Columbia Police Department,Local police department,82, , , , , ,Po Box 10, , ,Columbia,TN,Maury,38401, , , , ,47119,"Po Box 10, Columbia, TN 38401",35.6603272,-87.0224442
Sevier County Sheriff's Office,Sheriff's office,82, , , , , ,106 W Bruce St, , ,Sevierville,TN,Sevier,37862, , , , ,47155,"106 W Bruce St, Sevierville, TN 37862",35.8671334,-83.56626969999999
De Soto Parish Sheriff's Office,Sheriff's office,81, , , , , ,205 Franklin St, , ,Mansfield,LA,De Soto,71052, , , , ,22031,"205 Franklin St, Mansfield, LA 71052",32.0394301,-93.709586
Mansfield Police Department,Local police department,81, , , , , ,1305 E. Broad St., , ,Mansfield,TX,Tarrant,76063, , , , ,48439,"1305 E. Broad St., Mansfield, TX 76063",32.5663534,-97.1248727
Sanford Police Department,Local police department,81, , , , , ,Po Box 3729, , ,Sanford,NC,Lee,27331, , , , ,37105,"Po Box 3729, Sanford, NC 27331",35.5241174,-79.1379448
Oconee County Sheriff's Office,Sheriff's office,81, , , , , ,415 S Pine St, , ,Walhalla,SC,Oconee,29691, , , , ,45073,"415 S Pine St, Walhalla, SC 29691",34.7588348,-83.0731637
Harris County Constable Pct. 7,Constable/marshal,81, , , , , ,5290 Griggs Road, , ,Houston,TX,Harris,77021, , , , ,48201,"5290 Griggs Road, Houston, TX 77021",29.6958738,-95.3341062
Summerville Police Department,Local police department,80, , , , , ,300 West 2Nd North Street, , ,Summerville,SC,Dorchester,29483, , , , ,45035,"300 West 2Nd North Street, Summerville, SC 29483",33.0239054,-80.1759103
Tipton County Sheriff's Office,Sheriff's office,80, , , , , ,121 W Madison St, , ,Covington,TN,Tipton,38019, , , , ,47167,"121 W Madison St, Covington, TN 38019",35.5699659,-89.6464641
Maury County Sheriff's Office,Sheriff's office,80, , , , , ,1300 Lawson White Dr, , ,Columbia,TN,Maury,38401, , , , ,47119,"1300 Lawson White Dr, Columbia, TN 38401",35.6383511,-87.0647491
Hamblen County Sheriff's Office,Sheriff's office,79, , , , , ,510 Allison St, , ,Morristown,TN,Hamblen,37814, , , , ,47063,"510 Allison St, Morristown, TN 37814",36.2149821,-83.2987469
Rowlett Police Department,Local police department,79, , , , , ,P. O. Box 370 4401 Rowlett Rd., , ,Rowlett,TX,Dallas,75030, , , , ,48113,"P. O. Box 370 4401 Rowlett Rd., Rowlett, TX 75030",32.9009548,-96.57008119999999
Smyrna Police Department,Local police department,79, , , , , ,325 W. Glenwood Street, , ,Smyrna,TN,Rutherford,37167, , , , ,47149,"325 W. Glenwood Street, Smyrna, TN 37167",35.9417793,-86.5143602
Parker County Sheriff's Office,Sheriff's office,79, , , , , ,129 Hogle St, , ,Weatherford,TX,Parker,76086, , , , ,48367,"129 Hogle St, Weatherford, TX 76086",32.7601561,-97.78742609999999
Kaufman County Sheriff's Office,Sheriff's office,79, , , , , ,1900 E Hwy 175,PO Drawer 849, ,Kaufman,TX,Kaufman,75142, , , , ,48257,"1900 E Hwy 175, Kaufman, TX 75142",32.6818705,-96.6137
Casa Grande Police Department,Local police department,79, , , , , ,520 North Marshall Street, , ,Casa Grande,AZ,Pinal,85222, , , , ,4021,"520 North Marshall Street, Casa Grande, AZ 85222",32.878584,-111.7508822
Sumner County Sheriff's Office,Sheriff's office,79, , , , , ,60 E Hillside, , ,Gallatin,TN,Sumner,37066, , , , ,47165,"60 E Hillside, Gallatin, TN 37066",36.39285,-86.3996316
West Monroe Police Department,Local police department,78, , , , , ,2301 N. 7Th St., , ,West Monroe,LA,Ouachita,71291, , , , ,22073,"2301 N. 7Th St., West Monroe, LA 71291",32.5202476,-92.1485639
Kannapolis Police Department,Local police department,78, , , , , ,314 South Main St, , ,Kannapolis,NC,Cabarrus,28081, , , , ,37025,"314 South Main St, Kannapolis, NC 28081",35.4932877,-80.6269633
Hammond Police Department,Local police department,78, , , , , ,Po Box 2788, , ,Hammond,LA,Tangipahoa,70404, , , , ,22105,"Po Box 2788, Hammond, LA 70404",30.5040918,-90.46136179999999
Slidell Police Department,Local police department,78, , , , , ,2112 Sgt. Alfred Dr, , ,Slidell,LA,St. Tammany,70458, , , , ,22103,"2112 Sgt. Alfred Dr, Slidell, LA 70458",30.27485009999999,-89.7801916
Houma Police Department,Local police department,78, , , , , ,500 Honduras St., , ,Houma,LA,Terrebonne,70360, , , , ,22109,"500 Honduras St., Houma, LA 70360",29.590153,-90.7224198
Georgetown County Sheriff's Office,Sheriff's office,78, , , , , ,Po Box 1292,430 N Fraser St, ,Georgetown,SC,Georgetown,29442, , , , ,45043,"Po Box 1292, Georgetown, SC 29442",33.38,-79.28999999999999
Asheboro Police Department,Local police department,77, , , , , ,Po Box 276, , ,Asheboro,NC,Randolph,27203, , , , ,37151,"Po Box 276, Asheboro, NC 27203",35.7718994,-79.8182714
Monroe Public Safety,Local police department,77, , , , , ,Po Box 69, , ,Monroe,NC,Union,28111, , , , ,37179,"Po Box 69, Monroe, NC 28111",35.0014016,-80.5680804
Huntersville Police Department,Local police department,76, , , , , ,Po Box 664, , ,Huntersville,NC,Mecklenburg,28070, , , , ,37119,"Po Box 664, Huntersville, NC 28070",35.4094161,-80.8498956
Cecil County Sheriff's Office,Sheriff's office,76, , , , , ,"107 Chesapeake Blvd, Ste 112", , ,Elkton,MD,Cecil,21921, , , , ,24015,"107 Chesapeake Blvd, Ste 112, Elkton, MD 21921",39.6025319,-75.787607
Coffee County Sheriff's Office,Sheriff's office,76, , , , , ,4 County Complex, , ,Manchester,TN,Coffee,37355, , , , ,47031,"4 County Complex, Manchester, TN 37355",35.4943674,-86.0729898
Caldwell County Sheriff's Office,Sheriff's office,76, , , , , ,54 N Franklin,P.O. Box 158, ,Lenoir,NC,Caldwell,28645, , , , ,37027,"54 N Franklin, Lenoir, NC 28645",35.9140196,-81.5389849
Missouri City Police Department,Local police department,75, , , , , ,3849 Cartwright Road, , ,Missouri City,TX,Fort Bend,77459, , , , ,48157,"3849 Cartwright Road, Missouri City, TX 77459",29.5819893,-95.5670746
Chatham County Sheriff's Office,Sheriff's office,75, , , , , ,1050 Carl Griffin Dr,PO Box 10026, ,Pittsboro,NC,Chatham,27312, , , , ,37037,"1050 Carl Griffin Dr, Pittsboro, NC 27312",35.7201463,-79.1772371
Nash County Sheriff's Office,Sheriff's office,75, , , , , ,Po Box 355,222 W Washington St, ,Nashville,NC,Nash,27856, , , , ,37127,"Po Box 355, Nashville, NC 27856",35.974598,-77.9655406
Guadalupe County Sheriff's Office,Sheriff's office,75, , , , , ,565 River Rd, , ,Seguin,TX,Guadalupe,78155, , , , ,48187,"565 River Rd, Seguin, TX 78155",29.5537456,-98.01886460000001
Cocke County Sheriff's Office,Sheriff's office,75, , , , , ,111 Court Ave, , ,Newport,TN,Cocke,37821, , , , ,47029,"111 Court Ave, Newport, TN 37821",35.9671399,-83.18430289999999
Weslaco Police Department,Local police department,75, , , , , ,901 N.  Airport Dr., , ,Weslaco,TX,Hidalgo,78596, , , , ,48215,"901 N.  Airport Dr., Weslaco, TX 78596",26.1714756,-97.9752085
Lubbock County Sheriff's Office,Sheriff's office,75, , , , , ,811 Main St,PO Box 10536, ,Lubbock,TX,Lubbock,79401, , , , ,48303,"811 Main St, Lubbock, TX 79401",33.5852981,-101.8436702
Henderson County Sheriff's Office,Sheriff's office,75, , , , , ,Po Box 228, , ,Athens,TX,Henderson,75751, , , , ,48213,"Po Box 228, Athens, TX 75751",32.2048735,-95.8555207
Kinston Police Department,Local police department,74, , , , , ,Po Box 339, , ,Kinston,NC,Lenoir,28502, , , , ,37107,"Po Box 339, Kinston, NC 28502",35.26,-77.58
Lufkin Police Department,Local police department,74, , , , , ,P.O. Drawer 190,300 EAST SHEPERD, ,Lufkin,TX,Angelina,75902, , , , ,48005,"P.O. Drawer 190, Lufkin, TX 75902",31.3374423,-94.7235939
Marana Police Department,Local police department,74, , , , , ,11555 West Civic Center Dr Bldg B, , ,Marana,AZ,Pima,85653, , , , ,4019,"11555 West Civic Center Dr Bldg B, Marana, AZ 85653",32.44790980000001,-111.2107408
Bedford Police Department,Local police department,74, , , , , ,215 E Main Street, , ,Bedford,TX,Tarrant,76021, , , , ,48439,"215 E Main Street, Bedford, TX 76021",32.8477269,-97.1305536
Rutherford County Sheriff's Office,Sheriff's office,74, , , , , ,198 N Washington St, , ,Rutherfordton,NC,Rutherford,28139, , , , ,37161,"198 N Washington St, Rutherfordton, NC 28139",35.3698155,-81.9578743
Moore County Sheriff's Office,Sheriff's office,74, , , , , ,58 Elm St S, , ,Carthage,NC,Moore,28327, , , , ,37125,"58 Elm St S, Carthage, NC 28327",35.3459867,-79.4169711
Anne Arundel County Sheriff's Office,Sheriff's office,73, , , , , ,"Po Box 507, Courthouse",7 Church Circle, ,Annapolis,MD,Anne Arundel,21401, , , , ,24003,"Po Box 507, Courthouse, Annapolis, MD 21401",38.979434,-76.4919706
Lumberton Police Department,Local police department,73, , , , , ,120 A East Chance Cut Off, , ,Lumberton,NC,Robeson,28359, , , , ,37155,"120 A East Chance Cut Off, Lumberton, NC 28359",34.6182199,-79.0086424
Georgetown Police Department,Local police department,73, , , , , ,108 East State Street, , ,Georgetown,TX,Williamson,78626, , , , ,48491,"108 East State Street, Georgetown, TX 78626",30.6487339,-97.63311300000001
