agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
Honolulu (City and County) Police Department,Local police department,1934, , , , , ,801 South Beretania Street, , ,Honolulu,HI,Honolulu,96813, , , , ,15003,"801 South Beretania Street, Honolulu, HI 96813",21.3042103,-157.8520417
Baltimore County Police Department,Local police department,1910, , , , , ,700 E. Joppa Rd, , ,Towson,MD,Baltimore,21286, , , , ,24005,"700 E. Joppa Rd, Towson, MD 21286",39.4004596,-76.58894120000001
Columbus Police Department,Local police department,1886, , , , , ,300 E Maple, , ,Columbus,OH,Franklin,43215, , , , ,39049,"300 E Maple, Columbus, OH 43215",39.9602601,-83.0092803
Virginia State Police,Primary state law enforcement agency,1873, , , , , ,7700 Midlothian Turnpike, , ,Richmond,VA,Chesterfield,23235, , , , ,51041,"7700 Midlothian Turnpike, Richmond, VA 23235",37.5000723,-77.5394587
North Carolina State Highway Patrol,Primary state law enforcement agency,1827, , , , , ,Archdale Building, , ,Raleigh,NC,Wake,27611, , , , ,37183,"Archdale Building, Raleigh, NC 27611",35.7868535,-78.63875929999999
San Bernardino County Sheriff's Office,Sheriff's office,1797, , , , , ,655 E 3Rd St, , ,San Bernardino,CA,San Bernardino,92415, , , , ,6071,"655 E 3Rd St, San Bernardino, CA 92415",34.1037671,-117.2729152
Orange County Sheriff-Coroner Department,Sheriff's office,1794, , , , , ,Po Box 449,550 N Flower St, ,Santa Ana,CA,Orange,92702, , , , ,6059,"Po Box 449, Santa Ana, CA 92702",33.7490375,-117.8657702
Michigan State Police,Primary state law enforcement agency,1732, , , , , ,714 South Harrison Rd, , ,East Lansing,MI,Ingham,48823, , , , ,26065,"714 South Harrison Rd, East Lansing, MI 48823",42.7259312,-84.4956092
Atlanta Police Department,Local police department,1719, , , , , ,"675 Ponce De Leon, 9Th Floor", , ,Atlanta,GA,Fulton,30308, , , , ,13121,"675 Ponce De Leon, 9Th Floor, Atlanta, GA 30308",33.7728691,-84.3657303
Charlotte - Mecklenburg Police Department,Local police department,1672, , , , , ,601 East Trade Street, , ,Charlotte,NC,Mecklenburg,28202, , , , ,37119,"601 East Trade Street, Charlotte, NC 28202",35.2226924,-80.83722440000001
Port Authority of New York & New Jersey Police Department,Special jurisdiction,1667, , , , , ,Rm 302,241 Erie St., ,Jersey City,NJ,Hudson,7310, , , , ,34017,"Rm 302, Jersey City, NJ 7310",40.7300567,-74.03294989999999
Jacksonville Sheriff's Office,Local police department,1662, , , , , ,501 E Bay St, , ,Jacksonville,FL,Duval,32202, , , , ,12031,"501 E Bay St, Jacksonville, FL 32202",30.3253528,-81.6518973
Broward County Sheriff's Office,Sheriff's office,1624, , , , , ,2601 W Broward Blvd, , ,Fort Lauderdale,FL,Broward,33312, , , , ,12011,"2601 W Broward Blvd, Fort Lauderdale, FL 33312",26.1224855,-80.17716899999999
Cleveland Police Department,Local police department,1616, , , , , ,209 W Main Street, , ,Cleveland,OH,Cuyahoga,44113, , , , ,39035,"209 W Main Street, Cleveland, OH 44113",39.7458164,-84.3894641
Florida Highway Patrol,Primary state law enforcement agency,1606, , , , , ,Neil Kirkman Bldg,2900 Apalachee Pkwy, ,Tallahassee,FL,Leon,32399, , , , ,12073,"Neil Kirkman Bldg, Tallahassee, FL 32399",30.3848991,-84.2291968
Indianapolis Police,Local police department,1582, , , , , ,50 North Alabama Street, , ,Indianapolis,IN,Marion,46204, , , , ,18097,"50 North Alabama Street, Indianapolis, IN 46204",39.7679576,-86.1529832
Prince George's County Police Department,Local police department,1578, , , , , ,7600 Barlowe Road, , ,Landover,MD,Prince Georges,20785, , , , ,24033,"7600 Barlowe Road, Landover, MD 20785",38.9181202,-76.87533289999999
Ohio State Highway Patrol,Primary state law enforcement agency,1560, , , , , ,740 E. 17th Avenue, , ,Columbus,OH,Franklin,43211, , , , ,39049,"740 E. 17th Avenue, Columbus, OH 43211",40.0024546,-82.9884945
Memphis Police Department,Local police department,1549, , , , , ,201 Poplar, , ,Memphis,TN,Shelby,38103, , , , ,47157,"201 Poplar, Memphis, TN 38103",35.1491527,-90.04789579999999
Denver Police Department,Local police department,1525, , , , , ,Po Box 489, , ,Denver,CO,Denver,80204, , , , ,8031,"Po Box 489, Denver, CO 80204",39.7380371,-105.0265195
Austin Police Department,Local police department,1515, , , , , ,201 1St Street Ne, , ,Austin,TX,Travis,78768, , , , ,48453,"201 1St Street Ne, Austin, TX 78768",30.27,-97.74
Fort Worth Police Department,Local police department,1489, , , , , ,350 W. Belknap Street, , ,Fort Worth,TX,Tarrant,76102, , , , ,48439,"350 W. Belknap Street, Fort Worth, TX 76102",32.7570952,-97.33576959999999
Palm Beach County Sheriff's Office,Sheriff's office,1447, , , , , ,3228 Gun Club Rd, , ,West Palm Beach,FL,Palm Beach,33406, , , , ,12099,"3228 Gun Club Rd, West Palm Beach, FL 33406",26.6709505,-80.0924474
Maryland State Police,Primary state law enforcement agency,1440, , , , , ,1201 Reisterstown Rd, , ,Pikesville,MD,Baltimore,21208, , , , ,24005,"1201 Reisterstown Rd, Pikesville, MD 21208",39.3764468,-76.7217407
New Orleans Police Department,Local police department,1425, , , , , ,715 South Broad, , ,New Orleans,LA,Orleans,70119, , , , ,22071,"715 South Broad, New Orleans, LA 70119",29.9608084,-90.0927964
Kansas City Police Department,Local police department,1421, , , , , ,1125 Locust Street, , ,Kansas City,MO,Jackson,64106, , , , ,29095,"1125 Locust Street, Kansas City, MO 64106",39.100029,-94.5769794
Fairfax County Police Department,Local police department,1419, , , , , ,4100 Chain Bridge Road, , ,Fairfax,VA,Fairfax,22030, , , , ,51059,"4100 Chain Bridge Road, Fairfax, VA 22030",38.8450521,-77.3091888
Sacramento County Sheriff's Office,Sheriff's office,1409, , , , , ,711 G St,PO Box 988, ,Sacramento,CA,Sacramento,95814, , , , ,6067,"711 G St, Sacramento, CA 95814",38.5848245,-121.4955348
Orange County Sheriff's Office,Sheriff's office,1398, , , , , ,Po Box 1468, , ,Orlando,FL,Orange,32804, , , , ,12095,"Po Box 1468, Orlando, FL 32804",28.5747416,-81.3949264
San Jose Police Department,Local police department,1382, , , , , ,201 W. Mission Street, , ,San Jose,CA,Santa Clara,95110, , , , ,6085,"201 W. Mission Street, San Jose, CA 95110",37.3495467,-121.9057198
St. Louis (city) Police Dept,Local police department,1351, , , , , ,1200 Clark Ave - Room 103, , ,St Louis,MO,St. Louis City,63103, , , , ,29510,"1200 Clark Ave - Room 103, St Louis, MO 63103",38.6250772,-90.2000346
San Diego County Sheriff's Office,Sheriff's office,1322, , , , , ,Po Box 939062,9621 Ridgehaven Ct, ,San Diego,CA,San Diego,92193, , , , ,6073,"Po Box 939062, San Diego, CA 92193",32.8015902,-117.1400471
Nashville Metro Police Department,Local police department,1315, , , , , ,200 James Robertson Pkwy., , ,Nashville,TN,Davidson,37201, , , , ,47037,"200 James Robertson Pkwy., Nashville, TN 37201",36.1677661,-86.7792858
Indiana State Police,Primary state law enforcement agency,1315, , , , , ,100 N. Senate Avenue Igcn 301, , ,Indianapolis,IN,Marion,46204, , , , ,18097,"100 N. Senate Avenue Igcn 301, Indianapolis, IN 46204",39.7691722,-86.1650219
Newark Police,Local police department,1310, , , , , ,31 Green Street, , ,Newark,NJ,Essex,7102, , , , ,34013,"31 Green Street, Newark, NJ 7102",40.731829,-74.1725891
Seattle Police Department,Local police department,1283, , , , , ,610 5Th Avenue,PO BOX 34986, ,Seattle,WA,King,98124, , , , ,53033,"610 5Th Avenue, Seattle, WA 98124",47.6042153,-122.3290443
Arizona Department of Public Safety,Primary state law enforcement agency,1244, , , , , ,P. O. Box 6638 Mail Drop 1000, , ,Phoenix,AZ,Maricopa,85005, , , , ,4013,"P. O. Box 6638 Mail Drop 1000, Phoenix, AZ 85005",33.4476587,-112.1345677
Connecticut State Police,Primary state law enforcement agency,1227, , , , , ,1111 Country Club Rd, , ,Middletown,CT,Middlesex,6457, , , , ,9007,"1111 Country Club Rd, Middletown, CT 6457",41.5692299,-72.72757740000002
Hillsborough County Sheriff's Office,Sheriff's office,1223, , , , , ,329 Mast Rd, , ,Tampa,FL,Hillsborough,33601, , , , ,12057,"329 Mast Rd, Tampa, FL 33601",27.9401015,-82.4501944
Louisiana State Police,Primary state law enforcement agency,1215, , , , , ,7919 Independence Blvd, , ,Baton Rouge,LA,East Baton Rouge,70806, , , , ,22033,"7919 Independence Blvd, Baton Rouge, LA 70806",30.4493038,-91.10612010000001
