Row Labels,agency_name,state,Full_Address,Count of agency_type
,Brazoria County Sheriff's Office,TX,"3602 County Rd 45, Angleton, TX 77515",1
,Bryan Police Department,TX,"103 North Beech Street, Bryan, TX 77805",1
,Fort Bend County Sheriff's Office,TX,"1410 Ransom Rd, Richmond, TX 77469",1
,Galveston County Sheriff's Office,TX,"601-54Th St, Galveston, TX 77551",1
,Galveston Police Department,TX,"P.O. Box 17251, Galveston, TX 77552",1
,Harris County Constable Pct. 1,TX,"1302 Preston, 3Rd Floor, Houston, TX 77002",1
,Harris County Constable Pct. 3,TX,"701 W. Baker Rd., Baytown, TX 77521",1
,Harris County Constable Pct. 4,TX,"6831 Cypresswood Dr, Spring, TX 77379",1
,Harris County Constable Pct. 5,TX,"17423 Katy Freeway, Houston, TX 77094",1
,Harris County Metropolitan Transit Authority Police Dept.,TX,"810 N. San Jacinto, Houston, TX 77002",1
,Harris County Sheriff's Office,TX,"1200 Baker St, Houston, TX 77002",1
,Houston I.S.D. Police Dept.,TX,"3500 TAMPA STREET, Houston, TX 77021",1
,Houston Police Department,TX,"17000 Aldine Westfield, Houston, TX 77073",1
,Jefferson County Sheriff's Office,TX,"16001 State Route 7, Beaumont, TX 77701",1
,Montgomery County Sheriff's Office,TX,"Po Box 432, Conroe, TX 77301",1
,Pasadena Police Department,TX,"1114 JEFF GINN MEMORIAL DRIVE, Pasadena, TX 77506",1
,Pearland Police Department,TX,"2703 Veterans Drive, Pearland, TX 77584",1
,Port Arthur Police Department,TX,"P. O. Box 1089, Port Arthur, TX 77641",1
,Sugar Land Police Department,TX,"PO BOX 110, Sugar Land, TX 77478",1
Houston Fire-Arson Count,,,,21
Sahuarita Police Department ,Pima County Sheriff's Dept.,AZ,"1750 E. Benson Hwy, Tucson, AZ 85714",1
,Pinal County Sheriff's Office,AZ,"971 N Jason Lopez Circle, Bldg C, Florence, AZ 85232",1
,Tucson Police Department,AZ,"270 South Stone Street, Tucson, AZ 85701",1
Sahuarita Police Department  Count,,,,3
Shreveport Police Department,Bossier City Police Dept,LA,"Po Box 6216, Bossier City, LA 71171",1
,Bossier Parish Sheriff's Office,LA,"Po Box 850, Benton, LA 71006",1
,Caddo Parish Sheriff's Office,LA,"501 Texas St Rm 101, Shreveport, LA 71101",1
,Monroe Police Department,LA,"818 W Main, Monroe, LA 71210",1
,Ouachita Parish Sheriff's Office,LA,"400 St John St, Monroe, LA 71201",1
,Shreveport Police Department,LA,"1234 Texas Ave, Shreveport, LA 71101",1
Shreveport Police Department Count,,,,6
Soddy Daisy Police Department,Blount County Sheriff's Office,TN,"225 Industrial Park Rd, Maryville, TN 37804",1
,Bradley County Sheriff's Office,TN,"107 N. Myrtle St., Cleveland, TN 37311",1
,Chattanooga Police Department,TN,"3410 Amnicola Hwy., Chattanooga, TN 37406",1
,Hamilton County Sheriff's Office,TN,"Po Box 764, Chattanooga, TN 37402",1
,Knox County Sheriff's Office,TN,"Po Box 1669, Knoxville, TN 37902",1
,Knoxville Police Department,TN,"P.O. Box 3610, Knoxville, TN 37927",1
,Murfreesboro Police Department,TN,"302 S. Church St., Murfreesboro, TN 37130",1
,Rutherford County Sheriff's Office,TN,"198 N Washington St, Murfreesboro, TN 37129",1
,Wilson County Sheriff's Office,TN,"925 Pierce St, Lebanon, TN 37087",1
Soddy Daisy Police Department Count,,,,9
Victoria Police Department,Corpus Christi Police Department,TX,"P. O. Box 9016, Corpus Christi, TX 78469",1
,Fort Bend County Sheriff's Office,TX,"1410 Ransom Rd, Richmond, TX 77469",1
,Hays County Sheriff's Office,TX,"1307 Uhland Rd, San Marcos, TX 78666",1
Victoria Police Department Count,,,,3
Williamson County Sheriff's Office,Austin Police Department,TX,"201 1St Street Ne, Austin, TX 78768",1
,Bexar County Sheriff's Office,TX,"200 N Comal, San Antonio, TX 78207",1
,Bryan Police Department,TX,"103 North Beech Street, Bryan, TX 77805",1
,Hays County Sheriff's Office,TX,"1307 Uhland Rd, San Marcos, TX 78666",1
,Killeen Police Department,TX,"402 N. 2Nd Street, Killeen, TX 76541",1
,McLennan County Sheriff's Office,TX,"901 Washington Avenue, Waco, TX 76701",1
,Round Rock Police Department,TX,"2701 N. Mays St., Round Rock, TX 78665",1
,San Antonio Police Department,TX,"214 W. Nueva St., San Antonio, TX 78207",1
,Temple Police Department,TX,"Post Office Box 160, Temple, TX 76501",1
,Texas Alcoholic Beverage Commission,TX,"5806 Mesa Drive, Austin, TX 78731",1
,Texas Department of Public Safety,TX,"Attn: Cindy Torres, Hr, Austin, TX 78773",1
,Texas Parks & Wildlife Department,TX,"4200 Smith School Rd, Austin, TX 78744",1
,Travis County Sheriff's Office,TX,"P.O. Box 1748, Austin, TX 78767",1
,Waco Police Department,TX,"721 N. 4Th, Waco, TX 76701",1
